Infraclass,genus,status,ma_min,ma_max
Eutheria,Aaptoryctes,extinct,57.7,58.89
Eutheria,Aaptoryctes,extinct,58.9,59.99
Eutheria,Aaptoryctes,extinct,58.9,59.99
Eutheria,Aaptoryctes,extinct,58.9,59.99
Eutheria,Aatotomus,extinct,58.9,59.99
Eutheria,Acidomomys,extinct,56.5,56.95
Eutheria,Acmeodon,extinct,58.9,59.99
Eutheria,Acmeodon,extinct,61.7,62.1
Eutheria,Acmeodon,extinct,61.7,62.1
Eutheria,Acmeodon,extinct,61.7,62.1
Eutheria,Acmeodon,extinct,61.7,62.1
Eutheria,Acmeodon,extinct,61.7,62.1
Eutheria,Acmeodon,extinct,62.11,62.49
Eutheria,Acmeodon,extinct,62.11,62.49
Eutheria,Acmeodon,extinct,62.11,62.49
Eutheria,Acmeodon,extinct,62.11,62.49
Eutheria,Acmeodon,extinct,62.5,63.39
Eutheria,Acmeodon,extinct,62.5,63.39
Eutheria,Acmeodon,extinct,62.5,63.39
Eutheria,Acmeodon,extinct,63.11,65.12
Eutheria,Acritoparamys,extinct,55.85,56.49
Eutheria,Acritoparamys,extinct,56.5,56.95
Eutheria,Acritoparamys,extinct,56.5,56.95
Eutheria,Acritoparamys,extinct,56.5,56.95
Eutheria,Acritoparamys,extinct,56.5,56.95
Eutheria,Acritoparamys,extinct,56.96,57.39
Eutheria,Adapisorella,extinct,57.7,58.89
Eutheria,Adapisorella,extinct,60,60.79
Eutheria,Adapisorex,extinct,57.7,58.89
Eutheria,Adeloxenus,extinct,60,60.79
Eutheria,Adunator,extinct,56.5,56.95
Eutheria,Adunator,extinct,56.5,56.95
Eutheria,Adunator,extinct,56.5,56.95
Eutheria,Adunator,extinct,57.7,58.89
Eutheria,Adunator,extinct,57.7,58.89
Eutheria,Adunator,extinct,57.7,58.89
Eutheria,Adunator,extinct,57.7,58.89
Eutheria,Adunator,extinct,57.7,58.89
Eutheria,Adunator,extinct,57.7,58.89
Eutheria,Adunator,extinct,57.7,58.89
Eutheria,Adunator,extinct,58.9,59.99
Eutheria,Adunator,extinct,58.9,59.99
Eutheria,Adunator,extinct,58.9,59.99
Eutheria,Adunator,extinct,58.9,59.99
Eutheria,Adunator,extinct,58.9,59.99
Eutheria,Adunator,extinct,60,60.79
Eutheria,Adunator,extinct,60,60.79
Eutheria,Adunator,extinct,60,60.79
Eutheria,Adunator,extinct,60,60.79
Eutheria,Adunator,extinct,60,60.79
Eutheria,Adunator,extinct,61.7,62.1
Eutheria,Alagomys,extinct,56.96,57.39
Eutheria,Aletodon,extinct,56.5,56.95
Eutheria,Aletodon,extinct,56.5,56.95
Eutheria,Aletodon,extinct,56.5,56.95
Eutheria,Aletodon,extinct,56.96,57.39
Eutheria,Aletodon,extinct,57.7,58.89
Eutheria,Aletodon,extinct,60,60.79
Eutheria,Aletodon,extinct,60,60.79
Eutheria,Aletodon,extinct,60,60.79
Eutheria,Aletodon,extinct,60,60.79
Eutheria,Aletodon ,extinct,55.85,56.49
Eutheria,Aletodon ,extinct,55.85,56.49
Eutheria,Alostera,extinct,66.04,69.9
Eutheria,Alostera,extinct,66.04,69.9
Eutheria,Alostera,extinct,66.04,69.9
Eutheria,Alostera,extinct,66.04,69.9
Eutheria,Altacreodus,extinct,66.04,69.9
Eutheria,Altacreodus,extinct,66.04,69.9
Eutheria,Altacreodus,extinct,66.04,69.9
Eutheria,Altacreodus,extinct,66.04,69.9
Eutheria,Altacreodus,extinct,66.04,69.9
Eutheria,Altacreodus,extinct,66.04,69.9
Eutheria,Altacreodus,extinct,66.04,69.9
Eutheria,Alticonus,extinct,65.6,65.96
Eutheria,Alticonus,extinct,65.97,66.03
Eutheria,Alveugena,extinct,65.6,65.96
Eutheria,Alveugena,extinct,65.97,66.03
Eutheria,Ambilestes,extinct,66.04,69.9
Eutheria,Ambilestes,extinct,66.04,69.9
Eutheria,Ambilestes,extinct,66.04,69.9
Eutheria,Amelotabes,extinct,58.9,59.99
Eutheria,Ampliconus,extinct,65.6,65.96
Eutheria,Ampliconus,extinct,65.97,66.03
Eutheria,Ampliconus,extinct,65.97,66.03
Eutheria,Anacodon,extinct,56.5,56.95
Eutheria,Anacodon,extinct,56.5,56.95
Eutheria,Anacodon,extinct,58.9,59.99
Eutheria,Anasazia,extinct,62.5,63.39
Eutheria,Anisonchus,extinct,61.7,62.1
Eutheria,Anisonchus,extinct,62.11,62.49
Eutheria,Anisonchus,extinct,62.11,62.49
Eutheria,Anisonchus,extinct,62.11,62.49
Eutheria,Anisonchus,extinct,62.11,62.49
Eutheria,Anisonchus,extinct,62.11,62.49
Eutheria,Anisonchus,extinct,62.11,62.49
Eutheria,Anisonchus,extinct,62.5,63.39
