"","accepted_name","maxAll","minAll","midAll","intLength"
"1","Aaptoryctes",59.99,57.7,58.845,2.29
"2","Aatotomus",59.99,58.9,59.445,1.09
"3","Abalosia",3.6,2.588,3.094,1.012
"4","Abderites",28.4,11.608,20.004,16.792
"5","Abdounodus",61.6,59.2,60.4,2.4
"6","Abelmoschomys",13.6,10.3,11.95,3.3
"7","Aboletylestes",59.2,56,57.6,3.2
"8","Abothrodon",11.62,7.246,9.433,4.374
"9","Abrocoma",9,2.588,5.794,6.412
"10","Abrosomys",48.6,37.2,42.9,11.4
"11","Abrothrix",3.6,0.0117,1.80585,3.5883
"12","Absarokius",55.8,46.2,51,9.59999999999999
"13","Acamana",37.2,33.9,35.55,3.3
"14","Acantharodeia",11.608,2.588,7.098,9.02
"15","Acarechimys",29,5.333,17.1665,23.667
"16","Acaremys",23.03,15.97,19.5,7.06
"17","Acarictis",55.8,50.3,53.05,5.5
"18","Acdestis",23.03,15.97,19.5,7.06
"19","Aceratherium",33.9,2.588,18.244,31.312
"20","Acerorhinus",13.82,4.9,9.36,8.92
"21","Aceroryctes",55.8,50.3,53.05,5.5
"22","Achaenodon",46.2,37.2,41.7,9
"23","Acheronictis",30.8,20.43,25.615,10.37
"24","Acheronodon",66.03,61.7,63.865,4.33
"25","Achlyoscapter",15.97,4.9,10.435,11.07
"26","Acidomomys",56.95,56.5,56.725,0.450000000000003
"27","Acinacodus",129.4,113,121.2,16.4
"28","Acinonyx",5.333,0,2.6665,5.333
"29","Aclistomycter",40.4,33.9,37.15,6.5
"30","Acmeodon",65.12,58.9,62.01,6.22000000000001
"31","Acoelodus",48.6,33.9,41.25,14.7
"32","Acoelohyrax",48.6,33.9,41.25,14.7
"33","Acomys",23.03,0,11.515,23.03
"34","Acotherulum",41.3,28.4,34.85,12.9
"35","Acratocnus",2.588,0,1.294,2.588
"36","Acrecebus",11.62,5.333,8.4765,6.287
"37","Acristatherium",125.45,122.46,123.955,2.99000000000001
"38","Acritohippus",23.03,5.333,14.1815,17.697
"39","Acritoparamys",57.39,55.85,56.62,1.54
"40","Acrobates",2.588,0,1.294,2.588
"41","Acrocyon",48.6,15.97,32.285,32.63
"42","Acrophoca",11.62,5.333,8.4765,6.287
"43","Acrophyseter",13.82,5.333,9.5765,8.487
"44","Acrotitan",48.6,37.2,42.9,11.4
"45","Actenomys",6.8,2.588,4.694,4.212
"46","Actiocyon",15.97,13.6,14.785,2.37
"47","Acyon",21,11.608,16.304,9.392
"48","Adapidium",48.6,37.2,42.9,11.4
"49","Adapis",41.3,33.9,37.6,7.4
"50","Adapisorella",60.79,57.7,59.245,3.09
"51","Adapisorex",58.89,57.7,58.295,1.19
"52","Adapisoriculus",59.2,56,57.6,3.2
"53","Adapoides",48.6,37.2,42.9,11.4
"54","Adcrocuta",11.608,3.6,7.604,8.008
"55","Addax",0.0117,0,0.00585,0.0117
"56","Adeloblarina",15.97,13.6,14.785,2.37
"57","Adelodelphys",105.3,93.5,99.4,11.8
"58","Adelomyarion",28.4,23.03,25.715,5.37
"59","Adeloxenus",60.79,60,60.395,0.789999999999999
"60","Adelphailurus",10.3,4.9,7.6,5.4
"61","Adelpharctos",33.9,23.03,28.465,10.87
"62","Adelphomys",23.03,15.97,19.5,7.06
"63","Adianthus",23.03,15.97,19.5,7.06
"64","Adiantoides",48.6,33.9,41.25,14.7
"65","Adiastaltus",23.03,15.97,19.5,7.06
"66","Adilophontes",30.8,20.43,25.615,10.37
"67","Adinotherium",23.03,11.608,17.319,11.422
"68","Adjidaumo",40.4,30.8,35.6,9.6
"69","Adolomys",55.8,48.6,52.2,7.2
"70","Adunator",62.1,56.5,59.3,5.6
"71","Advenimus",56,33.9,44.95,22.1
"72","Aegyptocetus",41.3,38,39.65,3.3
"73","Aegyptopithecus",33.9,28.1,31,5.8
"74","Aegyrcitherium",16.9,15.97,16.435,0.929999999999998
"75","Aelurodon",23.03,4.9,13.965,18.13
"76","Aenigmadelphys",83.5,70.6,77.05,12.9
"77","Aenigmys",2.588,0.0117,1.29985,2.5763
"78","Aepinacodon",40.4,33.9,37.15,6.5
"79","Aepycamelus",23.03,4.9,13.965,18.13
"80","Aepyceros",23.03,0,11.515,23.03
"81","Aepyprymnus",23.03,0,11.515,23.03
"82","Aethomylos",50.3,40.4,45.35,9.9
"83","Aethomys",7.246,0,3.623,7.246
"84","Aetiocetus",33.9,23.03,28.465,10.87
"85","Afradapis",38,33.9,35.95,4.1
"86","Aframonius",33.9,28.1,31,5.8
"87","Afrasia",41.3,38,39.65,3.3
"88","Africanacetus",23.03,0,11.515,23.03
"89","Africanictis",23.03,11.608,17.319,11.422
"90","Africanomys",15.97,5.333,10.6515,10.637
"91","Afrochoerodon",16.9,11.62,14.26,5.28
"92","Afrocricetodon",20.44,15.97,18.205,4.47
"93","Afrocyon",11.608,5.333,8.4705,6.275
"94","Afrodon",66,47.8,56.9,18.2
"95","Afrohyrax",28.4,11.62,20.01,16.78
"96","Afromastodon",23.03,11.608,17.319,11.422
"97","Afrophoca",20.44,13.82,17.13,6.62
"98","Afropithecus",22.4,15.97,19.185,6.43
"99","Afrosmilus",23.03,15.97,19.5,7.06
"100","Afrotarsius",48.6,28.1,38.35,20.5
"101","Afrotragulus",20.44,11.62,16.03,8.82
"102","Agalmaceros",2.588,0.0117,1.29985,2.5763
"103","Agathaeromys",2.588,0.0117,1.29985,2.5763
"104","Ageina",56,47.8,51.9,8.2
"105","Ageitodendron",50.3,46.2,48.25,4.09999999999999
"106","Ageitonomys",33.9,28.4,31.15,5.5
"107","Agerinia",56,40.4,48.2,15.6
"108","Aglaocetus",20.44,2.588,11.514,17.852
"109","Agnotherium",20.44,7.246,13.843,13.194
"110","Agnotocastor",37.2,20.43,28.815,16.77
"111","Agorophius",33.9,23.03,28.465,10.87
"112","Agriochoerus",40.4,20.43,30.415,19.97
"113","Agriotherium",23.03,1.8,12.415,21.23
"114","Aguascalientia",30.8,5.333,18.0665,25.467
"115","Ahytherium",0.781,0.012,0.3965,0.769
"116","Ailuravus",56,38,47,18
"117","Ailuropoda",3.6,0.0117,1.80585,3.5883
"118","Aivukus",11.608,2.588,7.098,9.02
"119","Akhnatenavus",33.9,28.1,31,5.8
"120","Akidolestes",129.4,125,127.2,4.40000000000001
"121","Akodon",2.588,0,1.294,2.588
"122","Aksyiromys",48.6,37.2,42.9,11.4
"123","Aktashmys",56,47.8,51.9,8.2
"124","Aktaumys",16.9,15.97,16.435,0.929999999999998
"125","Aktautitan",48.6,37.2,42.9,11.4
"126","Alagomys",57.39,56.96,57.175,0.43
"127","Alagtsavbaatar",37.2,33.9,35.55,3.3
"128","Alashania",33.9,23.03,28.465,10.87
"129","Alaymys",56,47.8,51.9,8.2
"130","Albanensia",15.97,5.333,10.6515,10.637
"131","Albanohyus",16.9,7.246,12.073,9.654
"132","Albertatherium",69.9,66.04,67.97,3.86
"133","Albertocetus",33.9,23.03,28.465,10.87
"134","Albertogaudrya",56,33.9,44.95,22.1
"135","Albicetus",15.97,5.333,10.6515,10.637
"136","Albireo",7.246,2.588,4.917,4.658
"137","Alcelaphus",5.333,0,2.6665,5.333
"138","Alces",15.97,0,7.985,15.97
"139","Alcidedorbignya",66,61.6,63.8,4.4
"140","Aletodon",60.79,56.5,58.645,4.29
