"","HIGHER_1","HIGHER_2","extinctOrder.","order","suborder","family","genus","maxAll","minAll","midAll","intLength"
"1","Afrotheria","Placentalia",0,"Macroscelidea","","Louisinidae","Cingulodon",66,61.6,63.8,4.4
"2","Afrotheria","Placentalia",0,"Macroscelidea","","Louisinidae","Monshyus",66,61.6,63.8,4.4
"3","Afrotheria","Placentalia",0,"Macroscelidea","","Apheliscidae","Litomylus",65.96,57.7,61.83,8.25999999999999
"4","Afrotheria","Placentalia",0,"Macroscelidea","","Apheliscidae","Gingerichia",62.1,61.7,61.9,0.399999999999999
"5","Afrotheria","Placentalia",0,"Macroscelidea","","Apheliscidae","Haplaletes",63.39,57.7,60.545,5.69
"6","Afrotheria","Placentalia",0,"Macroscelidea","","Apheliscidae","Utemylus",59.99,57.7,58.845,2.29
"7","Afrotheria","Placentalia",0,"Macroscelidea","","","Litocherus",62.49,57.7,60.095,4.79
"8","Afrotheria","Placentalia",0,"Macroscelidea","","Apheliscidae","Aletodon",60.79,56.5,58.645,4.29
"9","Afrotheria","Placentalia",0,"Macroscelidea","","Apheliscidae","Phenacodaptes",59.99,56.5,58.245,3.49
"10","Afrotheria","Placentalia",0,"Macroscelidea","","","Adunator",62.1,56.5,59.3,5.6
"11","Afrotheria","Placentalia",0,"Macroscelidea","","Apheliscidae","Apheliscus",57.69,55.85,56.77,1.84
"12","Afrotheria","Placentalia",0,"Macroscelidea","","Apheliscidae","Haplomylus",58.89,55.85,57.37,3.04
"13","Afrotheria","Placentalia",0,"Macroscelidea","","Louisinidae","Prolouisina",61.6,59.2,60.4,2.4
"14","Afrotheria","Placentalia",1,"","","","Abdounodus",61.6,59.2,60.4,2.4
"15","Afrotheria","Placentalia",0,"Macroscelidea","","Adapisoricidae","Adapisorex",58.89,57.7,58.295,1.19
"16","Afrotheria","Placentalia",0,"Macroscelidea","","Louisinidae","Berrulestes",61.6,56,58.8,5.6
"17","Afrotheria","Placentalia",0,"Macroscelidea","","Louisinidae","Walbeckodon",61.6,56,58.8,5.6
"18","Afrotheria","Placentalia",0,"Macroscelidea","","Louisinidae","Dipavali",59.2,56,57.6,3.2
"19","Afrotheria","Placentalia",0,"Macroscelidea","","Louisinidae","Gigarton",59.2,56,57.6,3.2
"20","Afrotheria","Placentalia",0,"Macroscelidea","","Louisinidae","Louisina",59.2,56,57.6,3.2
"21","Afrotheria","Placentalia",0,"Macroscelidea","","Louisinidae","Thryptodon",59.2,56,57.6,3.2
"22","Afrotheria","Placentalia",0,"Proboscidea","","","Eritherium",59.2,56,57.6,3.2
"23","Afrotheria","Placentalia",0,"Macroscelidea","","Amphilemuridae","Macrocranion",59.2,37.2,48.2,22
"24","Afrotheria","Placentalia",0,"Macroscelidea","","Amphilemuridae","Neomatronella",56,47.8,51.9,8.2
"25","Afrotheria","Placentalia",0,"Macroscelidea","","Apheliscidae","Khamsaconus",56,47.8,51.9,8.2
"26","Afrotheria","Placentalia",0,"Proboscidea","","Numidotheriidae","Daouitherium",56,47.8,51.9,8.2
"27","Afrotheria","Placentalia",0,"Proboscidea","","Phosphatheriidae","Phosphatherium",56,47.8,51.9,8.2
"28","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Seggeurius",56,47.8,51.9,8.2
"29","Afrotheria","Placentalia",0,"Macroscelidea","","Macroscelididae","Chambius",56,41.3,48.65,14.7
"30","Afrotheria","Placentalia",0,"Sirenia","","Prorastomidae","Prorastomus",56,41.3,48.65,14.7
"31","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Microhyrax",56,37.2,46.6,18.8
"32","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Sirenavus",56,33.9,44.95,22.1
"33","Afrotheria","Placentalia",0,"Proboscidea","","Numidotheriidae","Numidotherium",56,33.9,44.95,22.1
"34","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Megalohyrax",56,23.03,39.515,32.97
"35","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Titanohyrax",56,23.03,39.515,32.97
"36","Afrotheria","Placentalia",0,"Macroscelidea","","Amphilemuridae","Colpocherus",55.8,48.6,52.2,7.2
"37","Afrotheria","Placentalia",0,"Macroscelidea","","Amphilemuridae","Hylomysoides",55.8,48.6,52.2,7.2
"38","Afrotheria","Placentalia",0,"Macroscelidea","","Amphilemuridae","Qilulestes",55.8,48.6,52.2,7.2
"39","Afrotheria","Placentalia",0,"Macroscelidea","","Amphilemuridae","Scenopagus",59.99,57.7,58.845,2.29
"40","Afrotheria","Placentalia",0,"Macroscelidea","","Apheliscidae","Aethomylos",50.3,40.4,45.35,9.9
"41","Afrotheria","Placentalia",0,"Macroscelidea","","Amphilemuridae","Crypholestes",50.3,37.2,43.75,13.1
"42","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Eotheroides",48.6,33.9,41.25,14.7
"43","Afrotheria","Placentalia",0,"Macroscelidea","","Macroscelididae","Nementchatherium",48.6,33.9,41.25,14.7
"44","Afrotheria","Placentalia",0,"Sirenia","","Protosirenidae","Protosiren",48.6,33.9,41.25,14.7
"45","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Prototherium",48.6,23.03,35.815,25.57
"46","Afrotheria","Placentalia",0,"Afrosoricida","","Chrysochloridae","Diamantochloris",47.8,41.3,44.55,6.5
"47","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Anisosiren",47.8,41.3,44.55,6.5
"48","Afrotheria","Placentalia",0,"Sirenia","","Prorastomidae","Pezosiren",47.8,41.3,44.55,6.5
"49","Afrotheria","Placentalia",0,"Sirenia","","Protosirenidae","Ashokia",47.8,41.3,44.55,6.5
"50","Afrotheria","Placentalia",0,"Sirenia","","Protosirenidae","Libysiren",47.8,41.3,44.55,6.5
"51","Afrotheria","Placentalia",0,"Hyracoidea","","","Namahyrax",47.8,41.3,44.55,6.5
"52","Afrotheria","Placentalia",0,"Sirenia","","","Sobrarbesiren",47.8,41.3,44.55,6.5
"53","Afrotheria","Placentalia",0,"Macroscelidea","","Amphilemuridae","Amphilemur",47.8,33.9,40.85,13.9
"54","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Eosiren",47.8,28.1,37.95,19.7
"55","Afrotheria","Placentalia",0,"Proboscidea","","Moeritheriidae","Moeritherium",47.8,28.1,37.95,19.7
"56","Afrotheria","Placentalia",0,"Macroscelidea","","Amphilemuridae","Zionodon",46.2,40.4,43.3,5.8
"57","Afrotheria","Placentalia",0,"Macroscelidea","","Amphilemuridae","Patriolestes",46.2,37.2,41.7,9
"58","Afrotheria","Placentalia",0,"Macroscelidea","","Amphilemuridae","Proterixoides",46.2,37.2,41.7,9
"59","Afrotheria","Placentalia",0,"Macroscelidea","","Amphilemuridae","Sespedectes",46.2,37.2,41.7,9
"60","Afrotheria","Placentalia",0,"Macroscelidea","","Amphilemuridae","Ankylodon",46.2,26.3,36.25,19.9
"61","Afrotheria","Placentalia",0,"Macroscelidea","","Amphilemuridae","Gesneropithex",41.3,38,39.65,3.3
"62","Afrotheria","Placentalia",0,"Afrosoricida","","Chrysochloridae","Namachloris",41.3,38,39.65,3.3
"63","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Rupestrohyrax",41.3,38,39.65,3.3
"64","Afrotheria","Placentalia",0,"Afrosoricida","","Potamogalidae","Namagale",41.3,38,39.65,3.3
"65","Afrotheria","Placentalia",0,"Afrosoricida","","Tenrecidae","Arenagale",41.3,38,39.65,3.3
"66","Afrotheria","Placentalia",0,"Afrosoricida","","Tenrecidae","Sperrgale",41.3,38,39.65,3.3
"67","Afrotheria","Placentalia",0,"Proboscidea","","Barytheriidae","Barytherium",41.3,28.1,34.7,13.2
"68","Afrotheria","Placentalia",0,"Proboscidea","","Phiomiidae","Phiomia",41.3,23.03,32.165,18.27
"69","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Bunohyrax",41.3,23.03,32.165,18.27
"70","Afrotheria","Placentalia",0,"Proboscidea","","Elephantidae","Elephas",41.3,0,20.65,41.3
"71","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Paralitherium",38,33.9,35.95,4.1
"72","Afrotheria","Placentalia",0,"Afrosoricidae","","","Dilambdogale",38,33.9,35.95,4.1
"73","Afrotheria","Placentalia",0,"Hyracoidea","","","Dimaitherium",38,33.9,35.95,4.1
"74","Afrotheria","Placentalia",0,"Proboscidea","","Barytheriidae","Omanitherium",33.9,28.4,31.15,5.5
"75","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Kaupitherium",33.9,28.1,31,5.8
"76","Afrotheria","Placentalia",0,"Macroscelidea","","Macroscelididae","Herodotius",33.9,28.1,31,5.8
"77","Afrotheria","Placentalia",0,"Macroscelidea","","Macroscelididae","Metoldobotes",33.9,28.1,31,5.8
"78","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Antilohyrax",33.9,28.1,31,5.8
