"","accepted_name","max_ma","min_ma"
"63990","Abalosia",3.6,2.588
"63991","Abalosia",3.6,2.588
"38644","Abderites",28.4,23.03
"38645","Abderites",23.03,15.97
"38646","Abderites",23.03,15.97
"38657","Abderites",17.5,16.3
"38658","Abderites",17.5,16.3
"38659","Abderites",17.5,16.3
"38681","Abderites",16.3,15.5
"38688","Abderites",15.97,11.608
"72151","Abdounodus",61.6,59.2
"60757","Abelmoschomys",13.6,10.3
"26927","Aboletylestes",59.2,56
"26928","Aboletylestes",59.2,56
"26929","Aboletylestes",59.2,56
"38437","Abothrodon",11.62,7.246
"61822","Abrocoma",9,6.8
"62323","Abrocoma",5.333,3.6
"63992","Abrocoma",3.6,2.588
"63993","Abrocoma",3.6,2.588
"54367","Abrosomys",48.6,37.2
"63994","Abrothrix",3.6,2.588
"67917","Abrothrix",0.126,0.0117
"48104","Absarokius",55.8,50.3
"48105","Absarokius",55.8,50.3
"48106","Absarokius",55.8,50.3
"48107","Absarokius",55.8,50.3
"48108","Absarokius",55.8,50.3
"48109","Absarokius",55.8,50.3
"48110","Absarokius",55.8,50.3
"48111","Absarokius",55.8,50.3
"48112","Absarokius",55.8,50.3
"48113","Absarokius",55.8,50.3
"48114","Absarokius",55.8,50.3
"48115","Absarokius",55.8,50.3
"48116","Absarokius",55.8,50.3
"48117","Absarokius",55.8,50.3
"48118","Absarokius",55.8,50.3
"48119","Absarokius",55.8,50.3
"48120","Absarokius",55.8,50.3
"48121","Absarokius",55.8,50.3
"48122","Absarokius",55.8,50.3
"48123","Absarokius",55.8,50.3
"48124","Absarokius",55.8,50.3
"48125","Absarokius",55.8,50.3
"48126","Absarokius",55.8,50.3
"48127","Absarokius",55.8,50.3
"48128","Absarokius",55.8,50.3
"48129","Absarokius",55.8,50.3
"48130","Absarokius",55.8,50.3
"48131","Absarokius",55.8,50.3
"48132","Absarokius",55.8,50.3
"48133","Absarokius",55.8,50.3
"48134","Absarokius",55.8,50.3
"48135","Absarokius",55.8,50.3
"48136","Absarokius",55.8,50.3
"48137","Absarokius",55.8,50.3
"48138","Absarokius",55.8,50.3
"48139","Absarokius",55.8,50.3
"48140","Absarokius",55.8,50.3
"48141","Absarokius",55.8,50.3
"48142","Absarokius",55.8,50.3
"48143","Absarokius",55.8,50.3
"48144","Absarokius",55.8,48.6
"48145","Absarokius",55.8,48.6
"48146","Absarokius",55.8,48.6
"48147","Absarokius",55.8,48.6
"48148","Absarokius",55.8,50.3
"48149","Absarokius",55.8,50.3
"48150","Absarokius",55.8,50.3
"48151","Absarokius",55.8,50.3
"48152","Absarokius",55.8,50.3
"48153","Absarokius",55.8,50.3
"48154","Absarokius",55.8,50.3
"48155","Absarokius",55.8,50.3
"48156","Absarokius",55.8,50.3
"48157","Absarokius",55.8,50.3
"48158","Absarokius",55.8,50.3
"48159","Absarokius",55.8,50.3
"48160","Absarokius",55.8,50.3
"48975","Absarokius",50.3,46.2
"48976","Absarokius",50.3,46.2
"38028","Acamana",37.2,33.9
"27644","Acantharodeia",11.608,5.333
"27645","Acantharodeia",11.608,5.333
"27646","Acantharodeia",11.608,5.333
"27647","Acantharodeia",11.608,5.333
"27648","Acantharodeia",11.608,5.333
"27670","Acantharodeia",9,6.8
"27693","Acantharodeia",6.8,4
"27704","Acantharodeia",5.333,2.588
"27705","Acantharodeia",5.333,3.6
"27706","Acantharodeia",5.333,3.6
"27707","Acantharodeia",5.333,3.6
"57248","Acarechimys",29,21
"58209","Acarechimys",23.03,15.97
"58210","Acarechimys",23.03,15.97
"58211","Acarechimys",23.03,15.97
"58212","Acarechimys",23.03,15.97
"58213","Acarechimys",23.03,15.97
"58850","Acarechimys",21,17.5
"58851","Acarechimys",21,17.5
"59366","Acarechimys",17.5,16.3
"59367","Acarechimys",17.5,16.3
"59368","Acarechimys",17.5,15.5
"59557","Acarechimys",15.97,11.608
"59558","Acarechimys",15.97,11.608
"60540","Acarechimys",13.8,11.8
"60541","Acarechimys",13.8,11.8
"60542","Acarechimys",13.8,11.8
"61162","Acarechimys",11.608,5.333
"61163","Acarechimys",11.608,5.333
"58214","Acaremys",23.03,15.97
"58215","Acaremys",23.03,15.97
"58216","Acaremys",23.03,15.97
"58217","Acaremys",23.03,15.97
"58218","Acaremys",23.03,15.97
"58852","Acaremys",21,17.5
"58853","Acaremys",21,17.5
"59369","Acaremys",17.5,16.3
"59370","Acaremys",17.5,16.3
"59371","Acaremys",17.5,16.3
"59372","Acaremys",17.5,16.3
"59373","Acaremys",17.5,16.3
"59374","Acaremys",17.5,16.3
"59375","Acaremys",17.5,16.3
"59376","Acaremys",17.5,16.3
"31072","Acarictis",55.8,50.3
"31073","Acarictis",55.8,50.3
"31074","Acarictis",55.8,50.3
"31075","Acarictis",55.8,50.3
"31076","Acarictis",55.8,50.3
"38647","Acdestis",23.03,15.97
"38648","Acdestis",23.03,15.97
"38660","Acdestis",17.5,16.3
"38661","Acdestis",17.5,16.3
"38662","Acdestis",17.5,16.3
"41486","Aceratherium",33.9,28.1
"41487","Aceratherium",33.9,28.4
"41841","Aceratherium",28.4,23.03
"41842","Aceratherium",28.4,23.03
"41843","Aceratherium",28.4,23.03
"41844","Aceratherium",28.4,23.03
"42037","Aceratherium",23.03,15.97
"42038","Aceratherium",23.03,15.97
"42039","Aceratherium",23.03,15.97
"42040","Aceratherium",23.03,15.97
"42041","Aceratherium",23.03,15.97
"42042","Aceratherium",23.03,15.97
"42043","Aceratherium",23.03,2.588
"42650","Aceratherium",20.44,15.97
"43019","Aceratherium",16.9,15.97
"43020","Aceratherium",16.9,15.97
"43021","Aceratherium",16.9,15.97
"43022","Aceratherium",16.9,15.97
"43023","Aceratherium",16.9,15.97
"43024","Aceratherium",16.9,15.97
"43057","Aceratherium",15.97,11.608
"43058","Aceratherium",15.97,13.82
"43059","Aceratherium",15.97,11.62
"43060","Aceratherium",15.97,13.82
"43061","Aceratherium",15.97,13.82
"43062","Aceratherium",15.97,11.62
"43063","Aceratherium",15.97,11.62
"43064","Aceratherium",15.97,11.62
"43065","Aceratherium",15.97,11.608
"43066","Aceratherium",15.97,11.608
"43584","Aceratherium",13.82,11.62
"43585","Aceratherium",13.82,11.62
"43586","Aceratherium",13.82,11.62
"43587","Aceratherium",13.82,11.62
