"","genus","binned","binNum"
"1","Abalosia","bin_1_6","1"
"2","Abalosia","bin_1_6","1"
"3","Abderites","bin_26_31","6"
"4","Abderites","bin_21_26","5"
"5","Abderites","bin_21_26","5"
"6","Abderites","bin_11_16","3"
"7","Abderites","bin_16_21","4"
"8","Abderites","bin_21_26","5"
"9","Abderites","bin_11_16","3"
"10","Abderites","bin_16_21","4"
"11","Abderites","bin_16_21","4"
"12","Abderites","bin_16_21","4"
"13","Abderites","bin_16_21","4"
"14","Abderites","bin_16_21","4"
"15","Abderites","bin_11_16","3"
"16","Abderites","bin_11_16","3"
"17","Abdounodus","bin_61_66","13"
"18","Abdounodus","bin_56_61","12"
"19","Abelmoschomys","bin_11_16","3"
"20","Abelmoschomys","bin_6_11","2"
"21","Aboletylestes","bin_56_61","12"
"22","Aboletylestes","bin_56_61","12"
"23","Aboletylestes","bin_56_61","12"
"24","Abothrodon","bin_11_16","3"
"25","Abothrodon","bin_6_11","2"
"26","Abrocoma","bin_6_11","2"
"27","Abrocoma","bin_1_6","1"
"28","Abrocoma","bin_1_6","1"
"29","Abrocoma","bin_1_6","1"
"30","Abrosomys","bin_46_51","10"
"31","Abrosomys","bin_36_41","8"
"32","Abrosomys","bin_41_46","9"
"33","Abrothrix","bin_1_6","1"
"34","Absarokius","bin_51_56","11"
"35","Absarokius","bin_46_51","10"
"36","Absarokius","bin_51_56","11"
"37","Absarokius","bin_46_51","10"
"38","Absarokius","bin_51_56","11"
"39","Absarokius","bin_46_51","10"
"40","Absarokius","bin_51_56","11"
"41","Absarokius","bin_46_51","10"
"42","Absarokius","bin_51_56","11"
"43","Absarokius","bin_46_51","10"
"44","Absarokius","bin_51_56","11"
"45","Absarokius","bin_46_51","10"
"46","Absarokius","bin_51_56","11"
"47","Absarokius","bin_46_51","10"
"48","Absarokius","bin_51_56","11"
"49","Absarokius","bin_46_51","10"
"50","Absarokius","bin_51_56","11"
"51","Absarokius","bin_46_51","10"
"52","Absarokius","bin_51_56","11"
"53","Absarokius","bin_46_51","10"
"54","Absarokius","bin_51_56","11"
"55","Absarokius","bin_46_51","10"
"56","Absarokius","bin_51_56","11"
"57","Absarokius","bin_46_51","10"
"58","Absarokius","bin_51_56","11"
"59","Absarokius","bin_46_51","10"
"60","Absarokius","bin_51_56","11"
"61","Absarokius","bin_46_51","10"
"62","Absarokius","bin_51_56","11"
"63","Absarokius","bin_46_51","10"
"64","Absarokius","bin_51_56","11"
"65","Absarokius","bin_46_51","10"
"66","Absarokius","bin_51_56","11"
"67","Absarokius","bin_46_51","10"
"68","Absarokius","bin_51_56","11"
"69","Absarokius","bin_46_51","10"
"70","Absarokius","bin_51_56","11"
"71","Absarokius","bin_46_51","10"
"72","Absarokius","bin_51_56","11"
"73","Absarokius","bin_46_51","10"
"74","Absarokius","bin_51_56","11"
"75","Absarokius","bin_46_51","10"
"76","Absarokius","bin_51_56","11"
"77","Absarokius","bin_46_51","10"
"78","Absarokius","bin_51_56","11"
"79","Absarokius","bin_46_51","10"
"80","Absarokius","bin_51_56","11"
"81","Absarokius","bin_46_51","10"
"82","Absarokius","bin_51_56","11"
"83","Absarokius","bin_46_51","10"
"84","Absarokius","bin_51_56","11"
"85","Absarokius","bin_46_51","10"
"86","Absarokius","bin_51_56","11"
"87","Absarokius","bin_46_51","10"
"88","Absarokius","bin_51_56","11"
"89","Absarokius","bin_46_51","10"
"90","Absarokius","bin_51_56","11"
"91","Absarokius","bin_46_51","10"
"92","Absarokius","bin_51_56","11"
"93","Absarokius","bin_46_51","10"
"94","Absarokius","bin_51_56","11"
"95","Absarokius","bin_46_51","10"
"96","Absarokius","bin_51_56","11"
"97","Absarokius","bin_46_51","10"
"98","Absarokius","bin_51_56","11"
"99","Absarokius","bin_46_51","10"
"100","Absarokius","bin_51_56","11"
"101","Absarokius","bin_46_51","10"
"102","Absarokius","bin_51_56","11"
"103","Absarokius","bin_46_51","10"
"104","Absarokius","bin_51_56","11"
"105","Absarokius","bin_46_51","10"
"106","Absarokius","bin_51_56","11"
"107","Absarokius","bin_46_51","10"
"108","Absarokius","bin_51_56","11"
"109","Absarokius","bin_46_51","10"
"110","Absarokius","bin_51_56","11"
"111","Absarokius","bin_46_51","10"
"112","Absarokius","bin_51_56","11"
"113","Absarokius","bin_46_51","10"
"114","Absarokius","bin_51_56","11"
"115","Absarokius","bin_46_51","10"
"116","Absarokius","bin_51_56","11"
"117","Absarokius","bin_46_51","10"
"118","Absarokius","bin_51_56","11"
"119","Absarokius","bin_46_51","10"
"120","Absarokius","bin_51_56","11"
"121","Absarokius","bin_46_51","10"
"122","Absarokius","bin_51_56","11"
"123","Absarokius","bin_46_51","10"
"124","Absarokius","bin_51_56","11"
"125","Absarokius","bin_46_51","10"
"126","Absarokius","bin_51_56","11"
"127","Absarokius","bin_46_51","10"
"128","Absarokius","bin_51_56","11"
"129","Absarokius","bin_46_51","10"
"130","Absarokius","bin_51_56","11"
"131","Absarokius","bin_46_51","10"
"132","Absarokius","bin_51_56","11"
"133","Absarokius","bin_46_51","10"
"134","Absarokius","bin_51_56","11"
"135","Absarokius","bin_46_51","10"
"136","Absarokius","bin_51_56","11"
"137","Absarokius","bin_46_51","10"
"138","Absarokius","bin_51_56","11"
"139","Absarokius","bin_46_51","10"
"140","Absarokius","bin_51_56","11"
"141","Absarokius","bin_46_51","10"
"142","Absarokius","bin_51_56","11"
"143","Absarokius","bin_46_51","10"
"144","Absarokius","bin_51_56","11"
"145","Absarokius","bin_46_51","10"
"146","Absarokius","bin_51_56","11"
"147","Absarokius","bin_46_51","10"
"148","Absarokius","bin_46_51","10"
"149","Absarokius","bin_46_51","10"
"150","Acamana","bin_36_41","8"
"151","Acamana","bin_31_36","7"
"152","Acantharodeia","bin_11_16","3"
"153","Acantharodeia","bin_1_6","1"
"154","Acantharodeia","bin_6_11","2"
"155","Acantharodeia","bin_11_16","3"
"156","Acantharodeia","bin_1_6","1"
"157","Acantharodeia","bin_6_11","2"
"158","Acantharodeia","bin_11_16","3"
"159","Acantharodeia","bin_1_6","1"
"160","Acantharodeia","bin_6_11","2"
"161","Acantharodeia","bin_11_16","3"
"162","Acantharodeia","bin_1_6","1"
"163","Acantharodeia","bin_6_11","2"
"164","Acantharodeia","bin_11_16","3"
"165","Acantharodeia","bin_1_6","1"
"166","Acantharodeia","bin_6_11","2"
"167","Acantharodeia","bin_6_11","2"
"168","Acantharodeia","bin_6_11","2"
"169","Acantharodeia","bin_1_6","1"
"170","Acantharodeia","bin_1_6","1"
"171","Acantharodeia","bin_1_6","1"
"172","Acantharodeia","bin_1_6","1"
"173","Acantharodeia","bin_1_6","1"
"174","Acarechimys","bin_26_31","6"
"175","Acarechimys","bin_21_26","5"
"176","Acarechimys","bin_21_26","5"
"177","Acarechimys","bin_11_16","3"
"178","Acarechimys","bin_16_21","4"
"179","Acarechimys","bin_21_26","5"
