id2,ID,CLADE,from_ord,numTaxa,avgCladeDiv,avgNoncladeDiv,avgFactor,avgIncDec,numTrees,from,to
1,1a,Marsupialia,NA,362,0.158,0.140,1.1,upShift,7,Rhyncholestes_raphanurus_CAENOLESTIDAE_PAUCITUBERCULATA,Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA
2,1b,Marsup (minus Caenolestidae),NA,355,0.167,0.137,1.2,upShift,2,Caluromysiops_irrupta_DIDELPHIDAE_DIDELPHIMORPHIA,Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA
3,2a,Macropodidae-Potoridae,DIPROTODONTIA,78,0.320,0.139,2.3,upShift,3,Lagostrophus_fasciatus_MACROPODIDAE_DIPROTODONTIA,Aepyprymnus_rufescens_POTOROIDAE_DIPROTODONTIA
4,2b,Macropodidae,DIPROTODONTIA,66,0.375,0.141,2.7,upShift,5,Onychogalea_lunata_MACROPODIDAE_DIPROTODONTIA,Onychogalea_fraenata_MACROPODIDAE_DIPROTODONTIA
6,3a,Placentalia,NA,5544,0.143,0.136,1.1,upShift,5,Dasypus_septemcinctus_DASYPODIDAE_CINGULATA,Chrysochloris_stuhlmanni_CHRYSOCHLORIDAE_AFROSORICIDA
7,3b,Boreoeutheria,NA,5419,0.144,0.088,1.6,upShift,5,Nesophontes_micrus_NESOPHONTIDAE_EULIPOTYPHLA,Cynocephalus_volans_CYNOCEPHALIDAE_DERMOPTERA
5,4,Chrysochloridae,AFROSORICIDA,21,0.075,0.137,0.5,downShift,2,Amblysomus_hottentotus_CHRYSOCHLORIDAE_AFROSORICIDA,Eremitalpa_granti_CHRYSOCHLORIDAE_AFROSORICIDA
8,5,Carnivora,CARNIVORA,298,0.178,0.142,1.3,upShift,5,Vulpes_lagopus_CANIDAE_CARNIVORA,Leptailurus_serval_FELIDAE_CARNIVORA
9,6a,Pecora (Infraorder),CETARTIODACTYLA,215,0.229,0.127,1.8,upShift,3,Okapia_johnstoni_GIRAFFIDAE_CETARTIODACTYLA,Boselaphus_tragocamelus_BOVIDAE_CETARTIODACTYLA
10,6b,Cervidae-Moschidae-Bovidae,CETARTIODACTYLA,212,0.250,0.141,1.8,upShift,5,Muntiacus_rooseveltorum_CERVIDAE_CETARTIODACTYLA,Tetracerus_quadricornis_BOVIDAE_CETARTIODACTYLA
11,7,Cetacea,CETARTIODACTYLA,91,0.191,0.143,1.3,upShift,5,Indopacetus_pacificus_ZIPHIIDAE_CETARTIODACTYLA,Eubalaena_australis_BALAENIDAE_CETARTIODACTYLA
12,8,Chiroptera,CHIROPTERA,1287,0.144,0.133,1.1,upShift,4,Rhinopoma_muscatellum_RHINOPOMATIDAE_CHIROPTERA,Saccolaimus_peli_EMBALLONURIDAE_CHIROPTERA
13,9a,VespertilionidRel,CHIROPTERA,605,0.160,0.128,1.3,upShift,3,Nyctiellus_lepidus_NATALIDAE_CHIROPTERA,Submyotodon_latirostris_VESPERTILIONIDAE_CHIROPTERA
14,9b,Mollosidae-Vespertilionidae,CHIROPTERA,593,0.147,0.141,1.0,upShift,6,Platymops_setiger_MOLOSSIDAE_CHIROPTERA,Cistugo_lesueuri_VESPERTILIONIDAE_CHIROPTERA
15,10a,Phyllostomidae,CHIROPTERA,205,0.155,0.148,1.1,up-or-down,2,Macrotus_californicus_PHYLLOSTOMIDAE_CHIROPTERA,Phyllonycteris_poeyi_PHYLLOSTOMIDAE_CHIROPTERA
16,10b,Phyllostomatidae sub1 (Stenodermatinae),CHIROPTERA,93,0.208,0.138,1.5,upShift,6,Uroderma_magnirostrum_PHYLLOSTOMIDAE_CHIROPTERA,Sturnira_bidens_PHYLLOSTOMIDAE_CHIROPTERA
17,11a,Pteropodidae,CHIROPTERA,194,0.168,0.135,1.2,upShift,5,Dyacopterus_spadiceus_PTEROPODIDAE_CHIROPTERA,Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA
18,11b,Pteropodidae sub1 (Dobsonia-Rousettus),CHIROPTERA,161,0.177,0.147,1.2,upShift,2,Dobsonia_pannietensis_PTEROPODIDAE_CHIROPTERA,Rousettus_lanosus_PTEROPODIDAE_CHIROPTERA
19,12,Pteropodidae sub2 (Pteropus),CHIROPTERA,69,0.431,0.138,3.2,upShift,10,Pteropus_capistratus_PTEROPODIDAE_CHIROPTERA,Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA
20,13,Rhinolophidae-Hipposideridae,CHIROPTERA,180,0.164,0.139,1.2,upShift,7,Rhinolophus_luctus_RHINOLOPHIDAE_CHIROPTERA,Hipposideros_gigas_HIPPOSIDERIDAE_CHIROPTERA
21,14,Rhinolophidae,CHIROPTERA,87,0.225,0.139,1.6,upShift,6,Rhinolophus_luctus_RHINOLOPHIDAE_CHIROPTERA,Rhinolophus_landeri_RHINOLOPHIDAE_CHIROPTERA
22,15,Soricidae,EULIPOTYPHLA,420,0.160,0.140,1.1,upShift,2,Anourosorex_schmidi_SORICIDAE_EULIPOTYPHLA,Solisorex_pearsoni_SORICIDAE_EULIPOTYPHLA
23,16,Soricidae sub1 (Crocidurinae),EULIPOTYPHLA,213,0.259,0.136,1.9,upShift,9,Feroculus_feroculus_SORICIDAE_EULIPOTYPHLA,Crocidura_erica_SORICIDAE_EULIPOTYPHLA
