"nodeShifted" "numTaxa" "from" "to" "numNontaxa" "cladeDiv_mean" "noncladeDiv_mean" "factor" "incDec" "tree"
"1" 6011 5419 "Urotrichus_talpoides_TALPIDAE_EULIPOTYPHLA" "Prionomys_batesi_NESOMYIDAE_RODENTIA" 492 0.152051429400098 0.0868118623798481 1.75150521175082 "upShift" 1
"2" 9831 1599 "Typhlomys_cinereus_PLATACANTHOMYIDAE_RODENTIA" "Prionomys_batesi_NESOMYIDAE_RODENTIA" 4312 0.179080194352217 0.130656035034064 1.37062321159163 "upShift" 1
"3" 7181 1287 "Rhinopoma_hadramauticum_RHINOPOMATIDAE_CHIROPTERA" "Kerivoula_titania_VESPERTILIONIDAE_CHIROPTERA" 4624 0.154865188390416 0.139416975650723 1.11080582308997 "upShift" 1
"4" 11468 355 "Caluromysiops_irrupta_DIDELPHIDAE_DIDELPHIMORPHIA" "Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA" 5556 0.165831694852441 0.141566468975668 1.1714051784462 "upShift" 1
"5" 7567 297 "Myzopoda_schliemanni_MYZOPODIDAE_CHIROPTERA" "Centronycteris_centralis_EMBALLONURIDAE_CHIROPTERA" 5614 0.115733516573476 0.145071577801635 0.797768372876767 "downShift" 1
"6" 9863 1505 "Prometheomys_schaposchnikowi_CRICETIDAE_RODENTIA" "Thamnomys_venustus_MURIDAE_RODENTIA" 4406 0.203008645574585 0.126886702593573 1.599920570281 "upShift" 1
"7" 8635 313 "Callicebus_oenanthe_PITHECIIDAE_PRIMATES" "Allenopithecus_nigroviridis_CERCOPITHECIDAE_PRIMATES" 5598 0.274179308371788 0.13946201238098 1.9659784316233 "upShift" 1
"8" 7184 11 "Rhinopoma_hadramauticum_RHINOPOMATIDAE_CHIROPTERA" "Cardioderma_cor_MEGADERMATIDAE_CHIROPTERA" 5900 0.0899438107494829 0.143290707939598 0.627701628687586 "downShift" 1
"9" 4675 1 "Lophiomys_imhausi_MURIDAE_RODENTIA" "Lophiomys_imhausi_MURIDAE_RODENTIA" 5910 0.0827688821888543 0.143072018347776 0.578512018944624 "downShift" 1
"10" 9864 726 "Prometheomys_schaposchnikowi_CRICETIDAE_RODENTIA" "Calomys_musculinus_CRICETIDAE_RODENTIA" 5185 0.224791130989634 0.134486651093524 1.67147541530579 "upShift" 1
"11" 9460 203 "Plagiodontia_ipnaeum_CAPROMYIDAE_RODENTIA" "Abrocoma_boliviensis_ABROCOMIDAE_RODENTIA" 5708 0.175675528859526 0.142189035018947 1.23550686476012 "upShift" 1
"12" 7195 87 "Rhinolophus_hillorum_RHINOLOPHIDAE_CHIROPTERA" "Rhinolophus_hipposideros_RHINOLOPHIDAE_CHIROPTERA" 5824 0.292571426853302 0.141779819841546 2.06356184667381 "upShift" 1
"13" 4676 1 "Uranomys_ruddi_MURIDAE_RODENTIA" "Uranomys_ruddi_MURIDAE_RODENTIA" 5910 0.12506829219213 0.143010715493826 0.874537909696213 "downShift" 1
"14" 6270 211 "Crocidura_hikmiya_SORICIDAE_EULIPOTYPHLA" "Suncus_madagascariensis_SORICIDAE_EULIPOTYPHLA" 5700 0.303992633855154 0.139872025790759 2.17336263013672 "upShift" 1
"15" 7640 93 "Sturnira_nana_PHYLLOSTOMIDAE_CHIROPTERA" "Lonchorhina_fernandezi_PHYLLOSTOMIDAE_CHIROPTERA" 5818 0.232678407592182 0.142119622689393 1.63720113513605 "upShift" 1
"16" 11196 109 "Berylmys_bowersi_MURIDAE_RODENTIA" "Srilankamys_ohiensis_MURIDAE_RODENTIA" 5802 0.35899263170835 0.141169853842349 2.54298366072727 "upShift" 1
"17" 11714 78 "Lagostrophus_fasciatus_MACROPODIDAE_DIPROTODONTIA" "Aepyprymnus_rufescens_POTOROIDAE_DIPROTODONTIA" 5833 0.331075336920561 0.141798593010442 2.33482808180036 "upShift" 1
"18" 7413 64 "Pteropus_pelagicus_PTEROPODIDAE_CHIROPTERA" "Pteropus_ornatus_PTEROPODIDAE_CHIROPTERA" 5847 0.464866712961857 0.141851560076639 3.27713500444198 "upShift" 1
"19" 7479 3 "Syconycteris_hobbit_PTEROPODIDAE_CHIROPTERA" "Syconycteris_carolinae_PTEROPODIDAE_CHIROPTERA" 5908 0.15744277179143 0.142987559818773 1.10109419302615 "upShift" 1
"20" 9580 61 "Ctenomys_tucumanus_CTENOMYIDAE_RODENTIA" "Ctenomys_bergi_CTENOMYIDAE_RODENTIA" 5850 0.639119015332403 0.141776967054836 4.50791851884664 "upShift" 1
"110" 5913 5 "Zaglossus_bartoni_TACHYGLOSSIDAE_MONOTREMATA" "Ornithorhynchus_anatinus_ORNITHORHYNCHIDAE_MONOTREMATA" 5906 -0.000761195304995299 0.124504473853071 -0.00611379881733079 "downShift" 2
"210" 5919 92 "Hydrodamalis_gigas_DUGONGIDAE_SIRENIA" "Eremitalpa_granti_CHRYSOCHLORIDAE_AFROSORICIDA" 5819 0.0309734197393837 0.127237479319548 0.2434300011681 "downShift" 2
"31" 6011 33 "Dasypus_kappleri_DASYPODIDAE_CINGULATA" "Bradypus_torquatus_BRADYPODIDAE_PILOSA" 5878 0.031064187808685 0.125197927816589 0.248120622684691 "downShift" 2
"41" 8958 22 "Galeopterus_variegatus_CYNOCEPHALIDAE_DERMOPTERA" "Anathana_ellioti_TUPAIIDAE_SCANDENTIA" 5889 0.0371538059647381 0.124407104451023 0.29864697943649 "downShift" 2
"51" 7213 1287 "Rhinopoma_macinnesi_RHINOPOMATIDAE_CHIROPTERA" "Macrotus_californicus_PHYLLOSTOMIDAE_CHIROPTERA" 4624 0.146733985921677 0.116905723538879 1.25514800712796 "upShift" 2
"61" 10667 726 "Prometheomys_schaposchnikowi_CRICETIDAE_RODENTIA" "Abrothrix_illuteus_CRICETIDAE_RODENTIA" 5185 0.189378086432681 0.115938239436999 1.63343938421274 "upShift" 2
"71" 11392 63 "Prionomys_batesi_NESOMYIDAE_RODENTIA" "Brachytarsomys_albicauda_NESOMYIDAE_RODENTIA" 5848 0.0595548172836493 0.125115519489523 0.475998641308734 "downShift" 2
"81" 7669 605 "Nyctiellus_lepidus_NATALIDAE_CHIROPTERA" "Submyotodon_latirostris_VESPERTILIONIDAE_CHIROPTERA" 5306 0.164475792987792 0.119092318660822 1.38107809838032 "upShift" 2
"91" 6046 3 "Solenodon_paradoxus_SOLENODONTIDAE_EULIPOTYPHLA" "Solenodon_cubanus_SOLENODONTIDAE_EULIPOTYPHLA" 5908 0.06110030305961 0.123617562277962 0.494268791049463 "downShift" 2
"101" 8646 313 "Callicebus_purinus_PITHECIIDAE_PRIMATES" "Allenopithecus_nigroviridis_CERCOPITHECIDAE_PRIMATES" 5598 0.194193011238412 0.121364701888206 1.6000781793811 "upShift" 2
"111" 10062 605 "Praomys_delectorum_MURIDAE_RODENTIA" "Nilopegamys_plumbeus_MURIDAE_RODENTIA" 5306 0.171413959451875 0.118692285619189 1.44418787251126 "upShift" 2
"121" 7226 180 "Rhinolophus_hipposideros_RHINOLOPHIDAE_CHIROPTERA" "Hipposideros_corynophyllus_HIPPOSIDERIDAE_CHIROPTERA" 5731 0.167816233824255 0.12235976149406 1.37149853657079 "upShift" 2
"131" 7405 194 "Scotonycteris_zenkeri_PTEROPODIDAE_CHIROPTERA" "Cynopterus_sphinx_PTEROPODIDAE_CHIROPTERA" 5717 0.177827396357212 0.121970175436903 1.45795802719989 "upShift" 2
"141" 7227 87 "Rhinolophus_hipposideros_RHINOLOPHIDAE_CHIROPTERA" "Rhinolophus_landeri_RHINOLOPHIDAE_CHIROPTERA" 5824 0.199166664872073 0.122802354467378 1.62184728245566 "upShift" 2
"151" 8301 198 "Lonchorhina_aurita_PHYLLOSTOMIDAE_CHIROPTERA" "Lampronycteris_brachyotis_PHYLLOSTOMIDAE_CHIROPTERA" 5713 0.152782305432273 0.122482705397564 1.24737859876919 "upShift" 2
"161" 6694 215 "Okapia_johnstoni_GIRAFFIDAE_CETARTIODACTYLA" "Tetracerus_quadricornis_BOVIDAE_CETARTIODACTYLA" 5696 0.218349619007704 0.121068004635564 1.80352868344511 "upShift" 2
"171" 6303 212 "Feroculus_feroculus_SORICIDAE_EULIPOTYPHLA" "Crocidura_pullata_SORICIDAE_EULIPOTYPHLA" 5699 0.252725010878081 0.120679967957245 2.09417532301316 "upShift" 2
"181" 10366 123 "Zyzomys_maini_MURIDAE_RODENTIA" "Madromys_blanfordi_MURIDAE_RODENTIA" 5788 0.226052910498299 0.122174403267538 1.85024771517228 "upShift" 2
"191" 10527 105 "Srilankamys_ohiensis_MURIDAE_RODENTIA" "Berylmys_bowersi_MURIDAE_RODENTIA" 5806 0.27198930649706 0.121992784433526 2.2295524096777 "upShift" 2
"201" 9608 65 "Ctenomys_budini_CTENOMYIDAE_RODENTIA" "Ctenomys_erikacuellarae_CTENOMYIDAE_RODENTIA" 5846 0.430126102714928 0.122347050224441 3.51562299153006 "upShift" 2
"21" 6165 38 "Sorex_fumeus_SORICIDAE_EULIPOTYPHLA" "Sorex_stizodon_SORICIDAE_EULIPOTYPHLA" 5873 0.226827097023964 0.123246495374288 1.84043445888755 "upShift" 2
"22" 7467 52 "Pteropus_capistratus_PTEROPODIDAE_CHIROPTERA" "Pteropus_poliocephalus_PTEROPODIDAE_CHIROPTERA" 5859 0.606445322944024 0.12249756279124 4.95067256135968 "upShift" 2
"112" 5918 5544 "Dasypus_septemcinctus_DASYPODIDAE_CINGULATA" "Chrysochloris_stuhlmanni_CHRYSOCHLORIDAE_AFROSORICIDA" 367 0.144784084980997 0.133907845019293 1.08122182804253 "upShift" 3
"211" 6002 420 "Anourosorex_schmidi_SORICIDAE_EULIPOTYPHLA" "Solisorex_pearsoni_SORICIDAE_EULIPOTYPHLA" 5491 0.173846756397029 0.142273453085351 1.22191984960635 "upShift" 3
"32" 8431 135 "Nycticebus_pygmaeus_LORISIDAE_PRIMATES" "Allocebus_trichotis_CHEIROGALEIDAE_PRIMATES" 5776 0.08192304154849 0.145397472771486 0.563441991025831 "downShift" 3
"42" 9216 298 "Trichys_fasciculata_HYSTRICIDAE_RODENTIA" "Abrocoma_budini_ABROCOMIDAE_RODENTIA" 5613 0.152711256611029 0.143590458556993 1.06351952731188 "upShift" 3
"52" 11461 362 "Rhyncholestes_raphanurus_CAENOLESTIDAE_PAUCITUBERCULATA" "Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA" 5549 0.163023265683316 0.142842312974235 1.14128133526318 "upShift" 3
