"Lam_diff" "Mu_diff" "Lam_mean" "Lam_low95" "Lam_up95" "Lam_nonmean" "Lam_nonlow95" "Lam_nonup95" "Mu_mean" "Mu_low95" "Mu_up95" "Mu_nonmean" "Mu_nonlow95" "Mu_nonup95"
"AFROSORICIDA" 10 0 0.0959206324874102 0.0690185930065512 0.133021809118587 0.208854618755156 0.197568646296536 0.220969313227899 0.0508102207284227 0.012554214017371 0.102969123899006 0.0680199425431258 0.0508692965976499 0.085991514215029
"CARNIVORA" 9 1 0.279164404362329 0.233980261714088 0.32722619640399 0.203448901703369 0.192244739261373 0.215397135353658 0.13783489901369 0.0469048431733515 0.214702958377948 0.0647813828820026 0.0480624138821521 0.0821102056928978
"CETARTIODACTYLA" 8 1 0.257211542933809 0.222646350927119 0.297106752366912 0.20389970187644 0.192854924271808 0.215928527780671 0.085954691250547 0.0370153437649445 0.158884090272613 0.0667557010257301 0.0499474187332724 0.0846403221979241
"CHIROPTERA" 8 3 0.17353353019083 0.158355430837002 0.192770249033013 0.216566309510171 0.203063498454668 0.231090517252417 0.0355571540475049 0.0145331871914919 0.065904823872011 0.0774625582145085 0.0568990613312423 0.0985242525675943
"CINGULATA" 10 0 0.0902204491520331 0.0626973434850048 0.12858853735285 0.207324273636757 0.196058605561671 0.219373830506613 0.0461213913767405 0.00878801182130529 0.0986671585 0.0678198164640255 0.0507102899624654 0.0857364565374542
"DASYUROMORPHIA" 1 0 0.182637316849919 0.150029351268014 0.221222933235094 0.206652089034297 0.195392020010032 0.218823077851892 0.0376306703540194 0.00190266000704261 0.095423861 0.0680161187082953 0.0508553343209569 0.0859187733861821
"DIDELPHIMORPHIA" 0 0 0.185285270000993 0.152621217002257 0.233955399285103 0.206693578301996 0.195385694416503 0.218818974736174 0.0403118958785653 0.00218664578144367 0.104433362145493 0.0680785882696104 0.0509050346971581 0.0859897142022464
"DIPROTODONTIA" 1 0 0.235606400236292 0.201457312887489 0.273846716523947 0.205752600303581 0.19447160548253 0.217943707585599 0.0424359548327051 0.00542916790905802 0.0968067608820535 0.0681484331476191 0.0509143673961035 0.0860832615959197
"EULIPOTYPHLA" 2 2 0.234947397615226 0.194513043782668 0.274893686316864 0.20401631880551 0.193297961832789 0.215492339713304 0.0991800852813027 0.0477985306277252 0.154483916565731 0.065005663382698 0.048659388636641 0.0822164820178641
"HYRACOIDEA" 10 0 0.0937733332468454 0.0656624671807621 0.135693539329585 0.206583489187013 0.195316555838515 0.218595220760939 0.0501693156521031 0.0113475980325 0.10728390175 0.0676697423432755 0.0505675939614544 0.0855422073220942
"LAGOMORPHA" 8 4 0.298818902514027 0.231196459034457 0.406798295268831 0.2052773097666 0.19386424636371 0.217376678462681 0.181703227262177 0.0799285244335977 0.317141635396135 0.0663015890636086 0.0491220012961598 0.0841610022688817
"MACROSCELIDEA" 10 0 0.092938236436857 0.0653774418135367 0.132332307440652 0.207444081596934 0.196199437296646 0.219491664377622 0.0493467787824414 0.0114770367448524 0.10276930125 0.0678027907351931 0.0506913547742288 0.0856949028091655
"MONOTREMATA" 9 0 0.058631649298199 0.017521891596265 0.138873616794199 0.207506364949755 0.196277195108177 0.21956534143944 0.0582916949673399 0.01047538275 0.153509394771147 0.0677244994602603 0.0505726604433444 0.0856796133319913
"PAUCITUBERCULATA" 2 0 0.163117494983679 0.073297032844626 0.218559635701666 0.206447652130516 0.195188193471671 0.218494546624536 0.0464779388098908 0.002621975485 0.123831725 0.0676803470371361 0.0505642355821275 0.0854926764930832
"PERAMELEMORPHIA" 1 0 0.182395279331978 0.149842858591716 0.220852344483008 0.206746136394883 0.195472073476936 0.218952702276824 0.0378039964835943 0.00197909756720036 0.0954298800757014 0.0681263508090807 0.0509592322209932 0.0860486221767189
"PERISSODACTYLA" 2 2 0.202417871240418 0.127192255970302 0.28408546485729 0.206370069962834 0.195295700930866 0.218253053201472 0.127010719936228 0.0531709149516693 0.21693522 0.0672497248686124 0.0502417359305325 0.0850234198332841
"PHOLIDOTA" 2 2 0.193352491385099 0.113590466995521 0.265623868697294 0.206394483134349 0.19525208482072 0.218318313746485 0.121147645932396 0.0455260512596362 0.193796736580896 0.0674447032355171 0.0503793637793024 0.0852382970646812
"PILOSA" 10 0 0.0895865520960964 0.0616155781905522 0.128690118693143 0.20732485875049 0.196056545341865 0.219376436072077 0.046040977803413 0.00850554649965099 0.0986016035 0.0678178119347039 0.0507068987719888 0.0857280186924739
"PRIMATES" 10 10 0.373057666656731 0.31805528230361 0.437886429579799 0.197399904263837 0.185978232393519 0.209664812427383 0.213846277542393 0.133029108217469 0.305344679246876 0.0597594533719317 0.0423185540119904 0.0778625569879585
"PROBOSCIDEA" 9 0 0.0950582026787044 0.0658629870986337 0.145537372621259 0.206575235556493 0.195310871663173 0.218588581202007 0.0512258620874827 0.01159718755 0.112507517178364 0.0676664307569181 0.050565125619036 0.0855397687023325
"RODENTIA" 1 1 0.20862861287136 0.194489377242672 0.225207702591337 0.205150895388301 0.19121971860755 0.219701157988368 0.053940149191004 0.0334956724208884 0.0777693004124316 0.0762575551231544 0.0550799345596384 0.0979943806434448
"SCANDENTIA" 3 0 0.145934365812295 0.0750170609751411 0.254091598055117 0.206873113607924 0.195737899843749 0.218849914678171 0.0876329574655041 0.0196204720489934 0.19828786625 0.0674975247345223 0.0504899423575066 0.0852729153377294
"SIRENIA" 10 0 0.0936536518159445 0.0655072675679162 0.135531766670954 0.206620570043773 0.195354373636598 0.218631788140699 0.0501746600169218 0.011653355715 0.10691728375 0.0676747742610741 0.0505751233683705 0.0855456821703201
