"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.185 0.185 3
"2" 2 0.093 0.278 2
"3" 3 0.052 0.33 4
"4" 4 0.045 0.375 3
"5" 5 0.038 0.413 3
"6" 6 0.033 0.446 3
"7" 7 0.032 0.478 4
"8" 8 0.028 0.506 3
"9" 9 0.028 0.534 2
"10" 10 0.024 0.558 2
"11" 11 0.023 0.581 4
"12" 12 0.022 0.603 2
"13" 13 0.019 0.622 3
"14" 14 0.018 0.64 4
"15" 15 0.017 0.657 3
"16" 16 0.017 0.674 4
"17" 17 0.012 0.686 3
"18" 18 0.01 0.696 3
"19" 19 0.01 0.706 3
"20" 20 0.009 0.715 4
"21" 21 0.009 0.724 3
"22" 22 0.009 0.733 4
"23" 23 0.008 0.741 4
"24" 24 0.008 0.749 3
"25" 25 0.007 0.756 3
"26" 26 0.007 0.763 2
"27" 27 0.007 0.77 2
"28" 28 0.007 0.777 3
"29" 29 0.007 0.784 4
"30" 30 0.007 0.791 1
"31" 31 0.007 0.798 1
"32" 32 0.007 0.805 3
"33" 33 0.007 0.812 3
"34" 34 0.006 0.818 3
"35" 35 0.005 0.823 4
"36" 36 0.005 0.828 4
"37" 37 0.005 0.833 4
"38" 38 0.005 0.838 4
"39" 39 0.005 0.843 4
"40" 40 0.005 0.848 3
"41" 41 0.004 0.852 3
"42" 42 0.004 0.856 3
"43" 43 0.004 0.86 3
"44" 44 0.004 0.864 4
"45" 45 0.004 0.868 3
"46" 46 0.003 0.871 2
"47" 47 0.003 0.874 2
"48" 48 0.003 0.877 4
"49" 49 0.003 0.88 2
"50" 50 0.003 0.883 4
"51" 51 0.003 0.886 4
"52" 52 0.003 0.889 3
"53" 53 0.003 0.892 3
"54" 54 0.002 0.894 2
"55" 55 0.002 0.896 4
"56" 56 0.002 0.898 2
"57" 57 0.002 0.9 4
"58" 58 0.002 0.902 3
"59" 59 0.002 0.904 3
"60" 60 0.002 0.906 3
"61" 61 0.002 0.908 4
"62" 62 0.002 0.91 4
"63" 63 0.002 0.912 4
"64" 64 0.002 0.914 3
"65" 65 0.002 0.916 4
"66" 66 0.002 0.918 3
"67" 67 0.002 0.92 4
"68" 68 0.002 0.922 3
"69" 69 0.002 0.924 3
"70" 70 0.002 0.926 4
"71" 71 0.002 0.928 3
"72" 72 0.002 0.93 4
"73" 73 0.002 0.932 5
"74" 74 0.002 0.934 5
"75" 75 0.002 0.936 4
"76" 76 0.001 0.937 4
"77" 77 0.001 0.938 4
"78" 78 0.001 0.939 4
"79" 79 0.001 0.94 3
"80" 80 0.001 0.941 5
"81" 81 0.001 0.942 4
"82" 82 0.001 0.943 2
"83" 83 0.001 0.944 0
"84" 84 0.001 0.945 1
"85" 85 0.001 0.946 2
"86" 86 0.001 0.947 2
"87" 87 0.001 0.948 5
"88" 88 0.001 0.949 3
"89" 89 0.001 0.95 4
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.185 0.185 3
"2" 2 0.093 0.278 2
"3" 3 0.052 0.33 4
"4" 4 0.045 0.375 3
"5" 5 0.038 0.413 3
"6" 6 0.033 0.446 3
"7" 7 0.032 0.478 4
"8" 8 0.028 0.506 3
"9" 9 0.028 0.534 2
"10" 10 0.024 0.558 2
"11" 11 0.023 0.581 4
"12" 12 0.022 0.603 2
"13" 13 0.019 0.622 3
"14" 14 0.018 0.64 4
"15" 15 0.017 0.657 3
"16" 16 0.017 0.674 4
"17" 17 0.012 0.686 3
"18" 18 0.01 0.696 3
"19" 19 0.01 0.706 3
"20" 20 0.009 0.715 4
"21" 21 0.009 0.724 3
"22" 22 0.009 0.733 4
"23" 23 0.008 0.741 4
"24" 24 0.008 0.749 3
"25" 25 0.007 0.756 3
"26" 26 0.007 0.763 2
"27" 27 0.007 0.77 2
"28" 28 0.007 0.777 3
"29" 29 0.007 0.784 4
"30" 30 0.007 0.791 1
"31" 31 0.007 0.798 1
"32" 32 0.007 0.805 3
"33" 33 0.007 0.812 3
"34" 34 0.006 0.818 3
"35" 35 0.005 0.823 4
"36" 36 0.005 0.828 4
"37" 37 0.005 0.833 4
"38" 38 0.005 0.838 4
"39" 39 0.005 0.843 4
"40" 40 0.005 0.848 3
"41" 41 0.004 0.852 3
"42" 42 0.004 0.856 3
"43" 43 0.004 0.86 3
"44" 44 0.004 0.864 4
"45" 45 0.004 0.868 3
"46" 46 0.003 0.871 2
"47" 47 0.003 0.874 2
"48" 48 0.003 0.877 4
"49" 49 0.003 0.88 2
"50" 50 0.003 0.883 4
"51" 51 0.003 0.886 4
"52" 52 0.003 0.889 3
"53" 53 0.003 0.892 3
"54" 54 0.002 0.894 2
"55" 55 0.002 0.896 4
"56" 56 0.002 0.898 2
"57" 57 0.002 0.9 4
"58" 58 0.002 0.902 3
"59" 59 0.002 0.904 3
"60" 60 0.002 0.906 3
"61" 61 0.002 0.908 4
"62" 62 0.002 0.91 4
"63" 63 0.002 0.912 4
"64" 64 0.002 0.914 3
"65" 65 0.002 0.916 4
"66" 66 0.002 0.918 3
"67" 67 0.002 0.92 4
"68" 68 0.002 0.922 3
"69" 69 0.002 0.924 3
"70" 70 0.002 0.926 4
"71" 71 0.002 0.928 3
"72" 72 0.002 0.93 4
"73" 73 0.002 0.932 5
"74" 74 0.002 0.934 5
"75" 75 0.002 0.936 4
"76" 76 0.001 0.937 4
"77" 77 0.001 0.938 4
"78" 78 0.001 0.939 4
"79" 79 0.001 0.94 3
"80" 80 0.001 0.941 5
"81" 81 0.001 0.942 4
"82" 82 0.001 0.943 2
"83" 83 0.001 0.944 0
"84" 84 0.001 0.945 1
"85" 85 0.001 0.946 2
"86" 86 0.001 0.947 2
"87" 87 0.001 0.948 5
"88" 88 0.001 0.949 3
"89" 89 0.001 0.95 4
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.185 0.185 3
"2" 2 0.093 0.278 2
"3" 3 0.052 0.33 4
"4" 4 0.045 0.375 3
"5" 5 0.038 0.413 3
"6" 6 0.033 0.446 3
"7" 7 0.032 0.478 4
"8" 8 0.028 0.506 3
"9" 9 0.028 0.534 2
"10" 10 0.024 0.558 2
"11" 11 0.023 0.581 4
"12" 12 0.022 0.603 2
"13" 13 0.019 0.622 3
"14" 14 0.018 0.64 4
"15" 15 0.017 0.657 3
"16" 16 0.017 0.674 4
"17" 17 0.012 0.686 3
"18" 18 0.01 0.696 3
"19" 19 0.01 0.706 3
"20" 20 0.009 0.715 4
"21" 21 0.009 0.724 3
"22" 22 0.009 0.733 4
"23" 23 0.008 0.741 4
"24" 24 0.008 0.749 3
"25" 25 0.007 0.756 3
"26" 26 0.007 0.763 2
"27" 27 0.007 0.77 2
"28" 28 0.007 0.777 3
"29" 29 0.007 0.784 4
"30" 30 0.007 0.791 1
"31" 31 0.007 0.798 1
"32" 32 0.007 0.805 3
"33" 33 0.007 0.812 3
"34" 34 0.006 0.818 3
"35" 35 0.005 0.823 4
"36" 36 0.005 0.828 4
"37" 37 0.005 0.833 4
"38" 38 0.005 0.838 4
"39" 39 0.005 0.843 4
"40" 40 0.005 0.848 3
"41" 41 0.004 0.852 3
"42" 42 0.004 0.856 3
"43" 43 0.004 0.86 3
"44" 44 0.004 0.864 4
"45" 45 0.004 0.868 3
"46" 46 0.003 0.871 2
"47" 47 0.003 0.874 2
"48" 48 0.003 0.877 4
"49" 49 0.003 0.88 2
"50" 50 0.003 0.883 4
"51" 51 0.003 0.886 4
"52" 52 0.003 0.889 3
"53" 53 0.003 0.892 3
"54" 54 0.002 0.894 2
"55" 55 0.002 0.896 4
"56" 56 0.002 0.898 2
"57" 57 0.002 0.9 4
"58" 58 0.002 0.902 3
"59" 59 0.002 0.904 3
"60" 60 0.002 0.906 3
"61" 61 0.002 0.908 4
"62" 62 0.002 0.91 4
"63" 63 0.002 0.912 4
"64" 64 0.002 0.914 3
"65" 65 0.002 0.916 4
"66" 66 0.002 0.918 3
"67" 67 0.002 0.92 4
"68" 68 0.002 0.922 3
"69" 69 0.002 0.924 3
"70" 70 0.002 0.926 4
"71" 71 0.002 0.928 3
"72" 72 0.002 0.93 4
"73" 73 0.002 0.932 5
"74" 74 0.002 0.934 5
"75" 75 0.002 0.936 4
"76" 76 0.001 0.937 4
"77" 77 0.001 0.938 4
"78" 78 0.001 0.939 4
"79" 79 0.001 0.94 3
"80" 80 0.001 0.941 5
"81" 81 0.001 0.942 4
"82" 82 0.001 0.943 2
"83" 83 0.001 0.944 0
"84" 84 0.001 0.945 1
"85" 85 0.001 0.946 2
"86" 86 0.001 0.947 2
"87" 87 0.001 0.948 5
"88" 88 0.001 0.949 3
"89" 89 0.001 0.95 4
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.185 0.185 3
"2" 2 0.093 0.278 2
"3" 3 0.052 0.33 4
"4" 4 0.045 0.375 3
"5" 5 0.038 0.413 3
"6" 6 0.033 0.446 3
"7" 7 0.032 0.478 4
"8" 8 0.028 0.506 3
"9" 9 0.028 0.534 2
"10" 10 0.024 0.558 2
"11" 11 0.023 0.581 4
"12" 12 0.022 0.603 2
"13" 13 0.019 0.622 3
"14" 14 0.018 0.64 4
"15" 15 0.017 0.657 3
"16" 16 0.017 0.674 4
"17" 17 0.012 0.686 3
"18" 18 0.01 0.696 3
"19" 19 0.01 0.706 3
"20" 20 0.009 0.715 4
"21" 21 0.009 0.724 3
"22" 22 0.009 0.733 4
"23" 23 0.008 0.741 4
"24" 24 0.008 0.749 3
"25" 25 0.007 0.756 3
"26" 26 0.007 0.763 2
"27" 27 0.007 0.77 2
"28" 28 0.007 0.777 3
"29" 29 0.007 0.784 4
"30" 30 0.007 0.791 1
"31" 31 0.007 0.798 1
"32" 32 0.007 0.805 3
"33" 33 0.007 0.812 3
"34" 34 0.006 0.818 3
"35" 35 0.005 0.823 4
"36" 36 0.005 0.828 4
"37" 37 0.005 0.833 4
"38" 38 0.005 0.838 4
"39" 39 0.005 0.843 4
"40" 40 0.005 0.848 3
"41" 41 0.004 0.852 3
"42" 42 0.004 0.856 3
"43" 43 0.004 0.86 3
"44" 44 0.004 0.864 4
"45" 45 0.004 0.868 3
"46" 46 0.003 0.871 2
"47" 47 0.003 0.874 2
"48" 48 0.003 0.877 4
"49" 49 0.003 0.88 2
"50" 50 0.003 0.883 4
"51" 51 0.003 0.886 4
"52" 52 0.003 0.889 3
"53" 53 0.003 0.892 3
"54" 54 0.002 0.894 2
"55" 55 0.002 0.896 4
"56" 56 0.002 0.898 2
"57" 57 0.002 0.9 4
"58" 58 0.002 0.902 3
"59" 59 0.002 0.904 3
"60" 60 0.002 0.906 3
"61" 61 0.002 0.908 4
"62" 62 0.002 0.91 4
"63" 63 0.002 0.912 4
"64" 64 0.002 0.914 3
"65" 65 0.002 0.916 4
"66" 66 0.002 0.918 3
"67" 67 0.002 0.92 4
"68" 68 0.002 0.922 3
"69" 69 0.002 0.924 3
"70" 70 0.002 0.926 4
"71" 71 0.002 0.928 3
"72" 72 0.002 0.93 4
"73" 73 0.002 0.932 5
"74" 74 0.002 0.934 5
"75" 75 0.002 0.936 4
"76" 76 0.001 0.937 4
"77" 77 0.001 0.938 4
"78" 78 0.001 0.939 4
"79" 79 0.001 0.94 3
"80" 80 0.001 0.941 5
"81" 81 0.001 0.942 4
"82" 82 0.001 0.943 2
"83" 83 0.001 0.944 0
"84" 84 0.001 0.945 1
"85" 85 0.001 0.946 2
"86" 86 0.001 0.947 2
"87" 87 0.001 0.948 5
"88" 88 0.001 0.949 3
"89" 89 0.001 0.95 4
