"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.441 0.441 1
"2" 2 0.163 0.604 1
"3" 3 0.14 0.744 1
"4" 4 0.036 0.78 2
"5" 5 0.033 0.813 2
"6" 6 0.031 0.844 2
"7" 7 0.027 0.871 2
"8" 8 0.021 0.892 2
"9" 9 0.017 0.909 2
"10" 10 0.013 0.922 2
"11" 11 0.009 0.931 2
"12" 12 0.009 0.94 2
"13" 13 0.006 0.946 1
"14" 14 0.005 0.951 2
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.441 0.441 1
"2" 2 0.163 0.604 1
"3" 3 0.14 0.744 1
"4" 4 0.036 0.78 2
"5" 5 0.033 0.813 2
"6" 6 0.031 0.844 2
"7" 7 0.027 0.871 2
"8" 8 0.021 0.892 2
"9" 9 0.017 0.909 2
"10" 10 0.013 0.922 2
"11" 11 0.009 0.931 2
"12" 12 0.009 0.94 2
"13" 13 0.006 0.946 1
"14" 14 0.005 0.951 2
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.441 0.441 1
"2" 2 0.163 0.604 1
"3" 3 0.14 0.744 1
"4" 4 0.036 0.78 2
"5" 5 0.033 0.813 2
"6" 6 0.031 0.844 2
"7" 7 0.027 0.871 2
"8" 8 0.021 0.892 2
"9" 9 0.017 0.909 2
"10" 10 0.013 0.922 2
"11" 11 0.009 0.931 2
"12" 12 0.009 0.94 2
"13" 13 0.006 0.946 1
"14" 14 0.005 0.951 2
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.441 0.441 1
"2" 2 0.163 0.604 1
"3" 3 0.14 0.744 1
"4" 4 0.036 0.78 2
"5" 5 0.033 0.813 2
"6" 6 0.031 0.844 2
"7" 7 0.027 0.871 2
"8" 8 0.021 0.892 2
"9" 9 0.017 0.909 2
"10" 10 0.013 0.922 2
"11" 11 0.009 0.931 2
"12" 12 0.009 0.94 2
"13" 13 0.006 0.946 1
"14" 14 0.005 0.951 2
