"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.501 0.501 1
"2" 2 0.231 0.732 2
"3" 3 0.126 0.858 2
"4" 4 0.025 0.883 3
"5" 5 0.018 0.901 2
"6" 6 0.016 0.917 2
"7" 7 0.014 0.931 2
"8" 8 0.011 0.942 3
"9" 9 0.01 0.952 2
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.501 0.501 1
"2" 2 0.231 0.732 2
"3" 3 0.126 0.858 2
"4" 4 0.025 0.883 3
"5" 5 0.018 0.901 2
"6" 6 0.016 0.917 2
"7" 7 0.014 0.931 2
"8" 8 0.011 0.942 3
"9" 9 0.01 0.952 2
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.501 0.501 1
"2" 2 0.231 0.732 2
"3" 3 0.126 0.858 2
"4" 4 0.025 0.883 3
"5" 5 0.018 0.901 2
"6" 6 0.016 0.917 2
"7" 7 0.014 0.931 2
"8" 8 0.011 0.942 3
"9" 9 0.01 0.952 2
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.501 0.501 1
"2" 2 0.231 0.732 2
"3" 3 0.126 0.858 2
"4" 4 0.025 0.883 3
"5" 5 0.018 0.901 2
"6" 6 0.016 0.917 2
"7" 7 0.014 0.931 2
"8" 8 0.011 0.942 3
"9" 9 0.01 0.952 2
