"node" "time" "lam1" "lam2" "mu1" "mu2" "index"
"1" 5912 0 0.0681843 -0.00253649 0.0623446 0 1
"2" 5918 104.972 0.0652985 -0.00201609 0.0120133 0 2
"3" 5952 126.244 0.0994537 0.00443307 0.0491316 0 3
"4" 8890 138.686 0.199753 0.001577 0.124367 0 4
"5" 8432 151.608 0.239725 0.00412475 0.158262 0 5
"6" 11461 152.094 0.17869 0.00118939 0.0969775 0 6
"7" 7363 156.748 0.13547 0.000270492 0.00190742 0 7
"8" 6447 163.216 0.253766 0.00443612 0.125438 0 8
"9" 11280 169.418 0.363293 -4.9962e-05 0.246617 0 9
"10" 9610 170.786 0.194749 -0.00173143 0.005844 0 10
"11" 11166 174.633 0.231301 -0.0043151 0.0226344 0 11
"12" 9765 175.741 0.118403 0.00254238 0.0876781 0 12
"13" 10502 176.859 0.227882 -0.00523668 0.0122401 0 13
"14" 6300 177.484 0.252209 0.00215492 0.0927863 0 14
"15" 8576 177.755 0.316112 0.00609916 0.0626228 0 15
"16" 8577 183.098 0.667112 -0.00292761 0.41537 0 16
"17" 6808 184.561 0.277857 0.0119178 0.177082 0 17
"18" 11469 185.737 0.243213 0.0046837 0.138841 0 18
"19" 11441 191.055 0.206222 -0.000167906 0.210618 0 19
"20" 7177 191.6 0.272361 -0.00412645 0.000833282 0 20
"21" 6012 191.71 0.353498 -0.000549062 0.0882969 0 21
"22" 8037 194.901 0.279556 0.00495602 0.000914861 0 22
"23" 6911 194.982 0.256542 0.00673866 0.00707335 0 23
"24" 8302 195.257 0.376752 -0.00294077 0.00419168 0 24
"25" 11714 195.879 0.355967 0.00331114 0.0776811 0 25
"26" 10382 198.651 0.356241 0.000651108 0.162629 0 26
"27" 7330 199.605 0.149251 0.00510835 0.0643514 0 27
"28" 9849 200.216 0.308437 -0.000259879 0.00845267 0 28
"29" 9430 202.855 0.472813 -0.00458416 0.031152 0 29
