"ord" "Lam_mean" "Lam_low95" "Lam_up95" "Lam_nonmean" "Lam_nonlow95" "Lam_nonup95" "Mu_mean" "Mu_low95" "Mu_up95" "Mu_nonmean" "Mu_nonlow95" "Mu_nonup95"
"1" "RODENTIA" 0.229911932186552 0.21142943578118 0.249739673765908 0.196451443857809 0.184536891610352 0.209774117614516 0.0526987245257846 0.0245984793648705 0.0820825025510984 0.0577589460345519 0.0387203160310227 0.0780234614039929
"2" "CHIROPTERA" 0.174703494566219 0.160269148733958 0.191300702667757 0.219416551646784 0.206006138653583 0.233092574661549 0.0318705019161587 0.0130690205326301 0.0574629580048281 0.0637377137183335 0.0419030896267746 0.0848249333122913
"3" "EULIPOTYPHLA" 0.180816036323063 0.159077181023635 0.204997145055534 0.211222541702445 0.199452181332378 0.223166765918923 0.0422902759371807 0.0135182611890271 0.0777964764935907 0.0572957749202194 0.0384402113724942 0.0754673159720908
"4" "PRIMATES" 0.380900577482476 0.318337181164785 0.455831794316372 0.198838471791556 0.187439421413656 0.211025104473037 0.213691956823994 0.124790447148256 0.327455915427109 0.047122897849945 0.0286756487767107 0.0654643087004978
"5" "CETARTIODACTYLA" 0.218311134915386 0.191938318242923 0.277313213968714 0.207918361224015 0.196362627618994 0.218971907871925 0.0438054852272567 0.0129567289306317 0.149027322240769 0.0566287056171666 0.0380150373752704 0.0745747835744148
"6" "CARNIVORA" 0.276657037876436 0.228586381472964 0.331508420966234 0.205658818511398 0.194095109741231 0.217053873389147 0.0994980117329042 0.0167518740950839 0.184388373306775 0.0541405769349443 0.0356761030645484 0.0723712387308003
"7" "DIPROTODONTIA" 0.242652466887312 0.209099268561237 0.285046042724733 0.207769034104278 0.196315931629844 0.219392746753977 0.0382850993544131 0.00501971992231447 0.0924050234988898 0.0563057529154002 0.0380765680806536 0.0746052740680456
"8" "DIDELPHIMORPHIA" 0.188135549614289 0.159035528286481 0.236170093459246 0.208822690035722 0.197385478300635 0.220523594090687 0.0367475718603806 0.00195604521443666 0.103443725 0.0562674184689096 0.0381938647183479 0.0745030796708282
"9" "LAGOMORPHA" 0.2809554843132 0.216224594872214 0.417026817160539 0.207586678847386 0.196202279344876 0.219118744818219 0.157544915689692 0.0455342141361144 0.321003827526987 0.0546935268128276 0.0364812664875138 0.0732160053618156
"10" "DASYUROMORPHIA" 0.186979254560979 0.157100957361726 0.230759717606986 0.208755450012775 0.197294738852469 0.220340382611812 0.0349047265809568 0.00174539925 0.100579 0.0562137396353168 0.0380744075724115 0.0745106480035408
"11" "AFROSORICIDA" 0.102407202745817 0.0787600193881069 0.131531868832337 0.210356108117205 0.199137096012434 0.221939581491752 0.0362607575291977 0.00142160229868182 0.0854558125 0.0562892477362398 0.0382602482497875 0.0739701909545482
"12" "PERISSODACTYLA" 0.12154976149994 0.0821799599286457 0.271918187794604 0.209055944134266 0.197795663833685 0.220329866020523 0.0488564911024595 0.00278637640489763 0.171338275 0.055987697926361 0.0378587312119423 0.073959428157448
"13" "PERAMELEMORPHIA" 0.186707466327151 0.156775381061033 0.230781174819821 0.208838731519317 0.197372845855018 0.220501371837574 0.0351339516074918 0.001779167 0.100579 0.0562869870551442 0.0381855823872251 0.0747249056975483
"14" "CINGULATA" 0.0994393009397235 0.0715953105780857 0.129894544963292 0.209480642514348 0.19825118923568 0.221088757440872 0.03485883810234 0.00115901678805289 0.083832655 0.0561346587387558 0.0379504399820188 0.0739893702346014
"15" "SCANDENTIA" 0.11530547518121 0.0751889602163166 0.287046916828235 0.20914411918991 0.197974615122658 0.22061761697152 0.0508903000160663 0.00121775325 0.20992055 0.055976654904144 0.0378762747591166 0.0738758521023822
"16" "MACROSCELIDEA" 0.100315172258835 0.0753547246107331 0.130677049517395 0.209456413493668 0.198239678386729 0.221072670101228 0.0357915378735131 0.0011588615 0.0854558125 0.0561230560440234 0.0379450164584329 0.0739882318531606
"17" "PILOSA" 0.0982136232210435 0.066991304310978 0.129546871154969 0.209510108219993 0.198277566529318 0.22112250679239 0.0349464096415881 0.001191337 0.08496273 0.0561373124355409 0.0379564232288594 0.0739906261002857
"18" "PHOLIDOTA" 0.105829067573405 0.0756682904018952 0.253961381557046 0.208843259322883 0.197663757811014 0.220021550489849 0.0383086738865751 0.00105604775 0.150995478308964 0.0560035053195505 0.0377766926793846 0.0739612455059767
"19" "PAUCITUBERCULATA" 0.168851928193795 0.0537437822238189 0.224527709619678 0.208572824294422 0.197267545232761 0.220092245741772 0.041442158968723 0.0017449755 0.1162754 0.0559758156390889 0.0377556904858084 0.0738942701171525
"20" "PROBOSCIDEA" 0.105466717579454 0.0774497985568651 0.16094912275604 0.20864723306248 0.197259453287571 0.22011821910727 0.0411583849627654 0.001217947 0.113672075 0.0559649979437457 0.037725892163132 0.0739612694760256
"21" "HYRACOIDEA" 0.10332362499874 0.0768361126406678 0.140550950528049 0.208639087345633 0.197246713852103 0.22010797087974 0.0394400668192014 0.001191337 0.099430785 0.0559660148180743 0.0377229402111959 0.0739612707723792
"22" "MONOTREMATA" 0.0465454295862722 0.0116426456796092 0.126133290524 0.209717026435071 0.198421877409742 0.221318485487236 0.0546037831711333 0.00425657275 0.144733825 0.0559506925754888 0.0377604360448012 0.074203056932576
"23" "SIRENIA" 0.103101900642478 0.076309522155394 0.140581556399927 0.208688054273842 0.19730074871179 0.220150211998772 0.0392835474928998 0.001191337 0.099430785 0.0559739434036527 0.0377351773583152 0.07396126539842
