"shifts" "prob"
"1" 24 0.002
"2" 25 0.002
"3" 26 0.003
"4" 27 0.009
"5" 28 0.005
"6" 29 0.015
"7" 30 0.027
"8" 31 0.038
"9" 32 0.044
"10" 33 0.052
"11" 34 0.046
"12" 35 0.07
"13" 36 0.071
"14" 37 0.059
"15" 38 0.071
"16" 39 0.062
"17" 40 0.068
"18" 41 0.054
"19" 42 0.042
"20" 43 0.045
"21" 44 0.041
"22" 45 0.031
"23" 46 0.036
"24" 47 0.02
"25" 48 0.022
"26" 49 0.017
"27" 50 0.007
"28" 51 0.01
"29" 52 0.005
"30" 53 0.005
"31" 54 0.008
"32" 55 0.001
"33" 57 0.003
"34" 58 0.003
"35" 60 0.003
"36" 61 0.002
"37" 62 0.001
