generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,2,4,0
3000,1,4,1
4000,1,2,1
5000,2,3,1
6000,3,4,1
7000,1,3,1
8000,1,2,1
9000,1,3,1
10000,1,2,1
11000,1,4,1
12000,1,4,1
13000,1,3,1
14000,2,4,1
15000,2,4,1
16000,1,3,1
17000,2,4,1
18000,1,3,1
19000,1,3,1
20000,1,4,1
21000,1,4,1
22000,2,3,1
23000,1,3,1
24000,1,2,1
25000,3,4,1
26000,1,2,1
27000,1,3,1
28000,2,3,1
29000,1,4,1
30000,3,4,1
31000,2,3,1
32000,2,3,1
33000,2,4,1
34000,3,4,1
35000,3,4,1
36000,1,2,1
37000,3,4,1
38000,1,2,1
39000,2,3,1
40000,2,4,1
41000,3,4,1
42000,2,3,1
43000,1,2,1
44000,2,3,1
45000,3,4,1
46000,1,3,1
47000,2,3,1
48000,1,3,0
49000,2,4,1
50000,2,3,1
51000,1,2,1
52000,3,4,1
53000,1,4,0
54000,1,4,0
55000,1,2,1
56000,1,3,1
57000,3,4,1
58000,1,3,1
59000,1,3,1
60000,1,4,1
61000,2,3,0
62000,1,3,1
63000,2,3,0
64000,1,2,1
65000,3,4,1
66000,1,3,0
67000,1,4,1
68000,1,3,1
69000,3,4,1
70000,3,4,0
71000,1,4,1
72000,1,3,1
73000,2,4,1
74000,1,3,0
75000,1,2,1
76000,1,2,1
77000,1,2,1
78000,1,4,1
79000,2,4,0
80000,1,3,1
81000,1,3,1
82000,1,4,1
83000,1,4,1
84000,2,4,0
85000,2,4,1
86000,2,4,1
87000,2,3,1
88000,1,3,1
89000,1,2,0
90000,1,2,0
91000,1,3,1
92000,1,2,1
93000,2,3,1
94000,3,4,1
95000,2,4,0
96000,2,4,0
97000,1,3,1
98000,3,4,1
99000,2,4,1
100000,1,4,1
101000,3,4,1
102000,1,3,1
103000,1,4,1
104000,2,4,1
105000,2,4,1
106000,2,3,1
107000,1,4,1
108000,1,3,1
109000,1,3,1
110000,2,3,1
111000,3,4,0
112000,1,4,1
113000,1,2,1
114000,2,3,1
115000,1,3,1
116000,2,3,1
117000,2,3,1
118000,2,3,0
119000,1,2,1
120000,1,2,1
121000,2,3,1
122000,3,4,1
123000,2,3,1
124000,3,4,1
125000,3,4,1
126000,1,4,1
127000,2,4,1
128000,1,2,0
129000,1,2,1
130000,3,4,1
131000,1,2,1
132000,2,3,1
133000,1,2,1
134000,2,4,1
135000,1,4,1
136000,1,4,1
137000,1,2,1
138000,1,2,1
139000,1,4,1
140000,2,3,1
141000,1,2,1
142000,1,4,1
143000,1,3,1
144000,1,4,0
145000,2,3,1
146000,1,4,0
147000,1,2,1
148000,3,4,0
149000,3,4,1
150000,2,3,0
151000,1,4,1
152000,1,2,1
153000,2,4,0
154000,2,4,0
155000,3,4,1
156000,2,3,1
157000,2,4,1
158000,3,4,1
159000,1,2,1
160000,1,4,1
161000,1,3,0
162000,2,3,1
163000,1,2,1
164000,2,3,1
165000,1,3,1
166000,2,4,0
167000,1,2,1
168000,1,3,1
169000,1,2,1
170000,1,2,0
171000,1,2,0
172000,1,4,1
173000,1,2,1
174000,3,4,1
175000,2,3,1
176000,1,2,1
177000,1,4,1
178000,1,2,1
179000,1,2,1
180000,1,3,0
181000,3,4,1
182000,2,4,1
183000,1,4,0
184000,1,3,1
185000,1,3,1
186000,2,4,1
187000,1,2,0
188000,2,3,1
189000,1,2,1
190000,1,4,0
191000,3,4,1
192000,3,4,1
193000,2,3,0
194000,1,2,1
195000,2,3,1
196000,3,4,1
197000,3,4,1
198000,1,3,1
199000,1,2,0
200000,2,3,1
201000,2,3,1
202000,1,3,1
203000,2,4,1
204000,2,4,1
205000,1,4,0
206000,1,3,1
207000,2,3,1
208000,3,4,1
209000,1,2,1
210000,1,4,0
211000,1,2,1
212000,1,4,0
213000,1,3,0
214000,1,4,0
215000,2,4,0
216000,1,4,0
217000,2,4,0
218000,2,4,0
219000,1,4,0
220000,1,3,1
221000,2,3,0
222000,3,4,1
223000,2,3,1
224000,1,2,1
225000,1,2,1
226000,1,2,1
227000,1,3,1
228000,3,4,1
229000,2,3,1
230000,2,3,1
231000,1,2,0
232000,1,4,0
233000,1,3,1
234000,3,4,1
235000,3,4,1
236000,2,3,1
237000,3,4,1
238000,1,2,1
239000,1,4,0
240000,1,3,0
241000,1,2,1
242000,1,4,0
243000,1,3,0
244000,3,4,1
245000,1,3,1
246000,1,4,1
247000,1,4,1
248000,1,2,1
249000,2,3,1
250000,3,4,1
251000,1,3,0
252000,3,4,1
253000,2,3,1
254000,2,3,1
255000,2,4,0
256000,1,4,1
257000,3,4,1
258000,2,3,1
259000,2,4,1
260000,2,4,1
261000,1,3,1
262000,1,4,0
263000,1,3,1
264000,1,4,1
265000,1,3,1
266000,1,3,0
267000,1,3,1
268000,2,3,0
269000,3,4,1
270000,2,4,1
271000,1,3,1
272000,1,3,1
273000,1,3,1
274000,2,3,0
275000,2,4,1
276000,2,4,1
277000,2,3,1
278000,2,3,1
279000,3,4,1
280000,2,3,1
281000,2,4,1
282000,2,4,1
283000,2,4,1
284000,1,2,1
285000,1,3,1
286000,2,3,0
287000,1,3,1
288000,1,4,1
289000,3,4,0
290000,1,4,0
291000,1,4,0
292000,2,4,0
293000,2,4,0
294000,3,4,1
295000,1,3,0
296000,2,4,1
297000,2,4,1
298000,2,4,0
299000,2,3,1
300000,2,4,1
301000,3,4,1
302000,1,4,1
303000,3,4,1
304000,2,4,1
305000,2,4,1
306000,1,2,1
307000,1,4,1
308000,1,4,1
309000,3,4,0
310000,2,4,1
311000,2,4,1
312000,2,4,0
313000,1,4,0
314000,1,4,1
315000,1,2,1
316000,3,4,1
317000,1,4,0
318000,2,3,1
319000,1,3,0
320000,2,3,0
321000,1,3,0
322000,3,4,1
323000,1,2,0
324000,2,3,1
325000,2,4,1
326000,1,4,1
327000,1,4,1
328000,1,4,1
329000,1,2,1
330000,2,3,1
331000,2,3,1
332000,1,4,1
333000,3,4,1
334000,2,4,1
335000,2,3,1
336000,2,3,1
337000,2,3,1
338000,2,3,1
339000,2,3,1
340000,1,2,1
341000,1,4,1
342000,3,4,1
343000,1,4,0
344000,1,2,1
345000,1,2,1
346000,2,4,0
347000,2,3,1
348000,1,3,1
349000,2,4,1
350000,3,4,1
351000,2,4,1
352000,1,2,1
353000,1,2,1
354000,2,4,1
355000,1,4,0
356000,1,4,0
357000,2,4,1
358000,1,2,1
359000,3,4,1
360000,2,3,0
361000,1,3,1
362000,2,4,0
363000,3,4,1
364000,3,4,1
365000,1,2,1
366000,1,4,0
367000,3,4,1
368000,1,3,0
369000,3,4,1
370000,1,2,1
371000,1,2,1
372000,3,4,1
373000,3,4,1
374000,1,3,1
375000,2,4,0
376000,2,3,1
377000,2,4,0
378000,2,4,0
379000,1,2,1
380000,1,4,0
381000,2,4,1
382000,2,4,1
383000,1,4,0
384000,1,4,1
385000,1,3,1
386000,1,4,1
387000,3,4,1
388000,1,4,0
389000,1,3,1
390000,2,4,1
391000,1,4,1
392000,1,3,1
393000,2,4,1
394000,2,3,1
395000,2,3,1
396000,1,2,1
397000,1,2,1
398000,2,3,1
399000,2,4,1
400000,1,3,0
401000,3,4,1
402000,2,3,1
403000,1,4,0
404000,3,4,1
405000,3,4,0
406000,3,4,1
407000,2,4,1
408000,1,2,0
409000,1,2,1
