generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,6.06102,-21556.4,1,0
1000,0,1.40976,-16130.9,0.0144496,0.213
2000,1,6.73197,-16113.7,0.165689,0.28
3000,1,7.84644,-16113.5,1.09788,0.346
4000,1,8.25088,-16107.2,0.360959,0.348
5000,2,14.4482,-16068.9,1.09268,0.271
6000,2,13.9088,-16071.8,1.58677,0.326
7000,2,14.2398,-16070.7,1.52202,0.331
8000,2,13.5378,-16069.7,1.27449,0.305087
9000,2,10.6348,-16068.3,3.83495,0.289
10000,2,14.6408,-16075.3,1.38078,0.322
11000,2,11.7549,-16070.7,0.772492,0.304
12000,2,14.1799,-16070.5,1.59295,0.322333
13000,2,13.5248,-16070.9,0.831805,0.31
14000,2,12.9035,-16071.1,1.43937,0.259
15000,2,13.5473,-16070.5,1.65409,0.301
16000,2,14.0142,-16072.2,1.03484,0.33
17000,2,14.0008,-16070.8,1.86082,0.306864
18000,2,14.3356,-16072.7,1.18169,0.316038
19000,2,10.9696,-16068.9,3.71559,0.303
20000,2,14.1922,-16069.8,0.778935,0.32075
21000,2,14.0242,-16068.5,0.710714,0.302
22000,2,14.8112,-16069.8,1.55967,0.306
23000,2,12.4184,-16070.4,1.52697,0.313
24000,2,14.6153,-16069.4,1.49328,0.314
25000,3,19.5688,-16063.9,1.50793,0.31625
26000,3,15.8632,-16070.2,1.78249,0.294429
27000,3,19.5342,-16069.9,1.55028,0.354
28000,3,16.7915,-16073.5,3.10829,0.386
29000,3,18.5917,-16068.6,1.59998,0.324154
30000,2,14.0776,-16070.6,1.9492,0.3195
31000,3,19.7813,-16070.6,2.33912,0.28
32000,3,16.0719,-16069,3.7357,0.32
33000,2,15.0308,-16071.7,1.08138,0.30425
34000,2,10.9828,-16069.3,2.66437,0.2965
35000,2,12.0393,-16070.2,0.423109,0.295
36000,2,10.5706,-16071,2.98201,0.294
37000,3,18.5664,-16069.8,2.14686,0.323385
38000,2,15.0274,-16069.4,0.971733,0.308
39000,2,13.9471,-16069.9,1.70752,0.298125
40000,2,13.9899,-16069.8,1.3352,0.306
41000,2,15.5759,-16072.5,0.586257,0.318
42000,2,9.59804,-16068.5,3.14632,0.296667
43000,2,14.0263,-16069.3,0.519205,0.29
44000,2,13.351,-16070,0.534395,0.295
45000,3,20.053,-16053.2,2.21185,0.299556
46000,3,17.8266,-16055.6,1.7124,0.287
47000,3,21.2285,-16052.9,1.07841,0.286
48000,2,14.5325,-16071.8,0.920006,0.302267
49000,3,19.2141,-16054.2,0.210474,0.28
50000,3,16.4056,-16064.5,1.85701,0.285
51000,3,17.7867,-16055.9,1.44881,0.274
52000,3,19.6615,-16054.1,1.37195,0.249
53000,3,19.426,-16054.3,1.18001,0.265
54000,3,19.2986,-16055.7,1.08256,0.281
55000,3,19.8427,-16053.4,1.73546,0.304
56000,4,20.0555,-16014.5,3.58844,0.273333
57000,3,17.4172,-16035.4,2.44964,0.3035
58000,4,20.2638,-16012.8,2.51311,0.255
59000,4,16.6276,-16010.2,2.20124,0.315
60000,4,20.4522,-16011.4,2.18387,0.285
61000,4,21.672,-16009.4,1.92591,0.272
62000,4,20.7735,-16013.2,2.21702,0.246
63000,4,21.4008,-16013.7,1.58997,0.3
64000,4,23.3981,-16010.7,0.943574,0.285889
65000,4,21.403,-16009.9,2.08454,0.282
66000,4,22.2563,-16010.9,1.37137,0.294
67000,4,20.1052,-16010.4,3.54554,0.283
68000,4,20.3854,-16013.9,1.98808,0.285708
69000,4,19.9905,-16010.8,1.65999,0.27
70000,4,17.8416,-16011.3,3.35504,0.273
71000,6,24.6817,-16007.9,5.98849,0.284
72000,4,22.4452,-16009,1.88681,0.296
73000,4,23.2257,-16011.7,2.31611,0.290438
74000,4,22.5166,-16008.6,2.85353,0.321
75000,5,21.9166,-16012.3,2.86946,0.28375
76000,4,21.2309,-16011.8,1.17861,0.254
77000,4,16.3296,-16012.8,3.21768,0.25
78000,4,23.1492,-16008.1,1.72519,0.25775
79000,4,22.1869,-16012.8,3.23341,0.305
80000,4,16.2333,-16019.1,1.71063,0.263125
81000,4,15.277,-16008.6,5.36333,0.26
82000,5,27.2869,-16008.1,1.27276,0.264
83000,6,32.9508,-16008.7,1.60713,0.291
84000,4,14.1068,-16010.1,6.4325,0.285
85000,4,17.0649,-16015.6,2.70365,0.265
86000,4,20.5714,-16009.9,3.18849,0.269667
87000,4,16.2052,-16008.6,4.21051,0.2745
88000,4,17.9299,-16010.4,3.48012,0.238
89000,5,24.7562,-16017.8,3.09553,0.288
90000,5,18.5621,-16016,1.5388,0.279
91000,6,27.8691,-16018.7,3.8063,0.266
92000,7,34.4227,-16000.5,4.29642,0.277
93000,10,43.4471,-16007.8,6.53502,0.32
94000,8,35.6551,-16004.4,3.59555,0.354
95000,4,20.8232,-16010.2,2.17475,0.275844
96000,5,23.5397,-16003.9,2.72738,0.316
97000,6,23.5324,-15995.3,5.57108,0.302
98000,6,28.2066,-15991,2.04999,0.28
99000,6,29.284,-15995.7,2.75045,0.233
100000,6,30.6949,-16000.9,1.11488,0.2948
101000,8,37.4628,-15998.6,4.19367,0.291
102000,7,32.3015,-15992,2.64508,0.311333
103000,7,30.109,-15977.7,7.04317,0.2985
104000,7,29.7039,-15981,3.70888,0.343
105000,6,26.9261,-15991.8,2.67966,0.280333
106000,8,40.1581,-15987.2,1.65408,0.304
107000,7,31.0415,-15992,4.08524,0.307
108000,7,29.7466,-15985,4.29773,0.295
109000,7,27.4049,-15986.1,4.83833,0.313
110000,6,26.0238,-16005.8,2.37746,0.287042
111000,5,22.6342,-16007.9,1.17084,0.27395
112000,5,20.0137,-16002.3,2.4819,0.219
113000,5,26.3406,-16005.8,2.25321,0.248
114000,6,29.89,-15986.7,3.17541,0.2892
115000,6,27.695,-15991.8,5.26678,0.277
116000,5,23.5203,-16003.8,2.04061,0.2705
117000,5,24.6089,-16001.7,3.99842,0.283
118000,6,24.6486,-15986.5,4.29541,0.321333
119000,6,24.8967,-15991.6,2.45645,0.299
120000,7,31.6964,-15984,3.35874,0.249
121000,6,24.3879,-15989.6,4.51856,0.3
122000,8,35.6597,-15986.6,4.53862,0.279
123000,9,40.0101,-15993.9,5.77405,0.339
124000,5,23.5278,-16002.2,2.77344,0.265714
125000,6,29.9546,-15978.4,2.1179,0.265952
126000,6,28.704,-15977.6,2.71326,0.268
127000,4,20.4468,-16015.8,3.26685,0.282571
128000,4,22.6572,-16012.7,0.919981,0.271
129000,4,19.315,-16012.3,3.11797,0.27
130000,5,25.4073,-16004.9,1.85427,0.289833
131000,6,25.5541,-15978.8,3.04925,0.2522
132000,7,29.9607,-15971.2,5.09065,0.257
133000,7,26.2495,-15974.5,6.80771,0.291
134000,6,24.9854,-15974.1,4.69256,0.25
135000,6,26.7693,-15975.2,3.34431,0.248
136000,6,21.2792,-15976.7,6.21763,0.261
137000,7,28.1598,-15979.3,6.65976,0.294
138000,7,28.7544,-15976,1.75096,0.276
139000,6,25.5148,-15978,4.93622,0.256
140000,6,30.5691,-15983.4,2.91261,0.244
141000,6,29.5289,-16007.2,3.93019,0.273818
142000,4,16.4701,-16011.5,3.99392,0.270077
143000,7,28.1383,-15991.7,4.26813,0.27305
144000,6,27.0752,-15987.1,2.82432,0.264
145000,6,21.3948,-15994.6,6.90487,0.264
146000,7,31.6031,-15990.9,3.74842,0.272
147000,6,28.2444,-15989.8,4.05084,0.257
148000,6,28.5233,-15987.8,3.1198,0.239
149000,5,21.255,-16010.6,1.61949,0.282375
150000,4,15.2588,-16008.2,6.11548,0.263
151000,4,19.4258,-16009.3,1.82502,0.269
152000,4,20.9374,-16005.9,1.56239,0.249
153000,4,18.633,-16006.9,4.66895,0.26
154000,4,21.1874,-16011.6,3.17018,0.263
155000,4,20.8865,-16010,2.02698,0.274
156000,4,19.9372,-16008.2,3.35262,0.276643
157000,4,21.533,-16009.4,1.44583,0.262
158000,6,25.4786,-15984.2,3.93325,0.2554
159000,6,25.434,-15975.9,3.75372,0.243105
160000,7,34.6375,-15974.3,3.65336,0.265
161000,4,20.4987,-16008,2.36102,0.2675
162000,5,25.6229,-16007.6,4.6531,0.288
163000,8,36.9078,-15988.3,3.48013,0.2828
164000,7,31.2441,-15987.6,6.15138,0.317
165000,8,40.0029,-15990.8,6.03411,0.27
166000,4,22.0492,-16011.8,1.53589,0.27375
167000,6,29.066,-15978.3,3.24567,0.297571
168000,5,25.0685,-16010.8,2.04354,0.269545
169000,6,29.7198,-15985.1,1.89871,0.29075
170000,6,28.7953,-15987.8,2.94269,0.241
171000,4,22.5432,-16018.7,2.0992,0.2728
172000,7,31.6505,-15979.3,3.36068,0.2664
173000,7,36.6549,-15973.6,3.85568,0.291
174000,9,40.9518,-15972.3,10.2135,0.297
175000,8,41.4729,-15982.8,4.71796,0.316
176000,8,39.7391,-15972.8,3.83813,0.267
177000,8,34.1612,-15975.6,5.66246,0.307
178000,8,36.9261,-15976.8,4.25005,0.292
179000,7,30.5958,-15981.8,3.81186,0.287
180000,8,38.74,-15972.9,4.41575,0.296
181000,7,31.3807,-15977.4,7.08446,0.285
182000,6,27.5367,-15987.6,3.4905,0.276833
183000,7,32.0692,-15985,4.2988,0.3095
184000,8,35.8587,-15979.1,5.43752,0.314
185000,8,33.8456,-15957.5,5.60135,0.267
186000,8,31.6491,-15957.1,5.62257,0.276
187000,8,29.0078,-15952.6,5.11548,0.234
188000,8,30.0841,-15950.5,4.56579,0.227
189000,8,32.4618,-15947.9,5.21205,0.24
190000,8,37.2246,-15947.9,3.01315,0.245
191000,9,38.7015,-15942.4,4.46617,0.269
192000,5,25.1697,-16008.7,2.17456,0.270952
193000,8,43.7459,-15981.8,3.07222,0.280727
194000,10,38.2374,-15940,9.31994,0.259667
195000,10,47.4297,-15952.1,4.61558,0.277
196000,12,55.4346,-15960,7.76172,0.325
197000,8,37.4259,-15975,4.86038,0.2935
198000,9,39.9281,-15938.4,5.10341,0.2875
199000,9,43.1137,-15939,3.23283,0.281
200000,9,38.3448,-15948.1,7.27102,0.294
201000,9,38.5181,-15953,4.97894,0.325
202000,10,47.9565,-15945.5,7.89068,0.272
203000,10,51.0163,-15955.6,4.35509,0.295
204000,10,45.6293,-15954.1,8.46987,0.312
205000,9,47.7884,-15948.3,3.68409,0.313
206000,9,45.6625,-15976.5,5.46946,0.281667
207000,8,42.2921,-15973.4,2.54421,0.269
208000,8,41.8241,-15971.6,2.16429,0.266
209000,9,44.5771,-15972.5,4.90906,0.265
210000,9,41.4305,-15978.7,5.59987,0.301
211000,9,41.8593,-15979.4,5.73005,0.325
212000,8,37.3765,-15969.9,5.66379,0.294
213000,8,35.9147,-15979.7,4.21598,0.295
214000,8,34.1922,-15970.5,4.44398,0.277
215000,4,20.9784,-16009.2,2.52658,0.28113
216000,4,19.4933,-16010.9,2.17178,0.266
217000,9,45.9324,-15938.5,3.38245,0.299
218000,10,52.8149,-15941.7,5.98706,0.293
219000,11,58.58,-15949.2,4.82879,0.325
220000,12,59.586,-15932.9,5.62379,0.323
221000,13,68.2199,-15938.7,6.345,0.314
222000,13,66.4861,-15945.4,4.61186,0.302
223000,12,54.3243,-15950,8.35801,0.338
224000,12,58.2699,-15943.3,6.70119,0.33
225000,11,53.8827,-15945.9,9.74818,0.291
226000,12,61.1424,-15936.3,7.1894,0.312
227000,13,67.5366,-15935.4,5.34622,0.336
228000,12,57.6333,-15933.4,5.64626,0.288
229000,13,66.522,-15937.9,6.15522,0.276
230000,13,59.9954,-15938.4,9.36389,0.327
231000,12,61.0024,-15933.1,6.50142,0.3
232000,14,63.562,-15940.2,8.65328,0.323
233000,16,65.8502,-15942.4,8.8919,0.296
234000,14,72.0205,-15934.8,5.06075,0.325
235000,14,66.0808,-15943.8,7.13992,0.304
236000,13,66.6596,-15941.7,5.01437,0.332
237000,15,76.531,-15938.6,7.06325,0.323
238000,14,75.7505,-15942.5,6.90778,0.354
239000,13,68.7152,-15945.6,6.18393,0.361
240000,6,31.8651,-16000.1,4.51363,0.284417
241000,6,34.6934,-15999.5,2.86592,0.269
242000,6,33.9269,-15999,3.5228,0.317
243000,5,26.9001,-16006.9,3.19317,0.288253
244000,6,36.5791,-16005.8,1.07459,0.3165
245000,5,27.6659,-16006.9,2.55789,0.2955
246000,6,27.5169,-15993.7,5.66333,0.303
247000,6,31.8635,-15992.4,3.4909,0.305
248000,6,31.3792,-16007.1,3.47696,0.312
249000,7,38.1965,-16009.4,4.30783,0.296
250000,5,23.9706,-16007.6,4.47333,0.329
251000,5,25.717,-16003.9,3.77929,0.304
252000,5,22.8528,-16012.6,5.83194,0.302
253000,9,39.3004,-15974,6.15175,0.282923
254000,8,42.3084,-15965.3,2.84043,0.298
255000,8,42.5421,-15967.8,2.2977,0.31
256000,5,26.873,-16006.7,2.61091,0.31475
257000,5,26.9421,-16009.7,1.76334,0.296
258000,5,23.5645,-16003.2,1.82635,0.286
259000,5,26.3895,-16011.6,1.56505,0.281
260000,10,50.7325,-15944.6,5.0869,0.299857
261000,10,42.4803,-15941.3,6.00067,0.287
262000,10,41.746,-15938.6,7.01335,0.294
263000,10,41.9489,-15936.5,9.42602,0.305
264000,11,48.3687,-15941,5.09302,0.3
265000,9,41.3928,-15963.9,3.9031,0.3032
266000,9,45.714,-15962,4.11972,0.295
267000,8,35.649,-15964.6,8.25791,0.298
268000,8,40.5452,-15968,5.24974,0.32
269000,8,39.2596,-15969.8,2.84509,0.321
270000,10,46.9697,-15964.1,6.8413,0.315
271000,10,50.1845,-15942.3,4.39731,0.306571
272000,6,32.6516,-15993.9,2.42136,0.28564
