"","clade","PSR_0_est","PSR_0_low95","PSR_0_high95","tree"
"1","Didelphimorphia","0.146962068495561","0.0372487347518104","0.222004155424707","1"
"2","Australidelphia","0.018408795935823","0.01","0.065820231293916","1"
"3","Atlantogenata","0.0286758299415986","0.01","0.107561895031461","1"
"4","Talpidae","0.313236926875331","0.277910396456242","0.583782706580248","1"
"5","Erinaceidae","0.0113684328435322","0.01","0.41039402337346","1"
"6","Soricidae","0.238478016388533","0.15645588980759","0.306711599850509","1"
"7","Feliformes","0.0259130261946099","0.01","0.0804376968132414","1"
"8","Caniformes","0.137861694160493","0.0409140734970243","0.230133430290187","1"
"9","Suina","0.269841276312473","0.01","0.543738435126177","1"
"10","Whippomorpha","0.0683321820771831","0.01","0.162675613653634","1"
"11","Ruminantia","0.246611638136897","0.181432407354553","0.303802572839559","1"
"12","Yinpterochiroptera","0.245996797826473","0.17967880630994","0.297557233451745","1"
"13","Yangochiroptera","0.173679510253991","0.133576551198236","0.223320577597049","1"
"14","Strepsirrhini","0.220534966464455","0.0161540429414246","0.322606074137492","1"
"15","Catarrhini","0.1279668379678","0.01","0.222293555274496","1"
"16","Platyrrhini","0.476071119800008","0.24111337160703","0.632886181911694","1"
"17","Lagomorpha","0.170192100732237","0.048811060990301","0.319226693639043","1"
"18","Guinea_pig-related","0.212685776079825","0.110184907316603","0.222345548099148","1"
"19","Squirrel-related","0.27397746802835","0.246452805291505","0.371081241484705","1"
"20","Mouse-related","0.156994463921324","0.125821407524984","0.180624698255278","1"
"21","Didelphimorphia","0.127267779042345","0.01","0.192910572333678","2"
"22","Australidelphia","0.0674794822624955","0.0161230662985328","0.148561757408128","2"
"23","Atlantogenata","0.0194878994646553","0.01","0.114243558563344","2"
"24","Talpidae","0.124934586593211","0.0408369946941812","0.300170677664688","2"
"25","Erinaceidae","0.01","0.01","0.0856084025721098","2"
"26","Soricidae","0.175519714591427","0.14383706084931","0.238017511343656","2"
"27","Feliformes","0.0865112381901517","0.0217924700555629","0.228898091002903","2"
"28","Caniformes","0.150834167272173","0.10290733157567","0.254526158345597","2"
"29","Suina","0.01","0.01","0.218127255354503","2"
"30","Whippomorpha","0.0402071541942069","0.01","0.185583043533896","2"
"31","Ruminantia","0.158426567690777","0.09303515438966","0.200273189387157","2"
"32","Yinpterochiroptera","0.255322874584265","0.156957668376718","0.304778111842902","2"
"33","Yangochiroptera","0.160960060016497","0.142003907258355","0.198426751367468","2"
"34","Strepsirrhini","0.199664921477303","0.0972930288760997","0.314834178214043","2"
"35","Catarrhini","0.072250395963205","0.01","0.125213085682551","2"
"36","Platyrrhini","0.451873136372749","0.192357886166211","0.654241520661854","2"
"37","Lagomorpha","0.0800630473680107","0.01","0.249129842376248","2"
"38","Guinea_pig-related","0.214319624810644","0.135326526549961","0.274517363020193","2"
"39","Squirrel-related","0.192823229084133","0.133662550710867","0.277510890243688","2"
"40","Mouse-related","0.169940863475502","0.158899837280332","0.200287841560886","2"
"41","Didelphimorphia","0.01","0.01","0.070323281825301","3"
"42","Australidelphia","0.139532706810903","0.074042842663775","0.281022369021944","3"
"43","Atlantogenata","0.0302198973632154","0.01","0.102534623471225","3"
"44","Talpidae","0.145184897779212","0.0271109423242351","0.223570316419569","3"
"45","Erinaceidae","0.0825074013032582","0.01","0.132676590642212","3"
"46","Soricidae","0.156705258404433","0.121042643925296","0.265612585461629","3"
"47","Feliformes","0.0833376727008386","0.0241373393217067","0.295813059893297","3"
"48","Caniformes","0.180329293428262","0.0938389160013772","0.328815356268871","3"
