"","CLADE_label","ID_label","avgFactor","avgIncDec","mean","lower","upper","avgCladeDiv","cladeDiv_low95","cladeDiv_high95","nodeMCC","numTaxa","from","to","Indep","tipDR_median","tipDR_low95","tipDR_up95","tipDR_skew"
"1","Marsupialia","A",1.1,"upShift",79.4,67.9,92.8,0.158,0.153,0.164,11461,362,"Rhyncholestes_raphanurus_CAENOLESTIDAE_PAUCITUBERCULATA","Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA",0,0.1269820769221,0.033503903949125,0.260228237160301,0.884235193690235
"5","Placentalia","C",1.1,"upShift",91.8,77.4,105,0.143,0.134,0.153,5918,5544,"Dasypus_septemcinctus_DASYPODIDAE_CINGULATA","Dasyprocta_kalinowskii_DASYPROCTIDAE_RODENTIA",0,0.214187299718252,0.0571692771184393,0.476953238127787,0.879919099391969
"13","Phyllostomidae","H",1.1,"up-or-down",28.7,24.1,33.2,0.155,0.149,0.162,7779,205,"Macrotus_californicus_PHYLLOSTOMIDAE_CHIROPTERA","Phyllonycteris_poeyi_PHYLLOSTOMIDAE_CHIROPTERA",1,0.176700773375026,0.0604362921366068,0.450072733239993,0.689322053073957
"23","Lagomorpha","P",1.1,"up-or-down",50.9,47.6,56,0.14,0.119,0.156,11247,91,"Poelagus_marjorita_LEPORIDAE_LAGOMORPHA","Ochotona_roylei_OCHOTONIDAE_LAGOMORPHA",1,0.200456798333237,0.0804175128423367,0.444051598320438,0.742631692595198
"15","Pteropodidae","I",1.2,"upShift",24.9,19.7,30.3,0.168,0.158,0.177,8182,194,"Dyacopterus_spadiceus_PTEROPODIDAE_CHIROPTERA","Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA",0,0.228411334406684,0.0801070417703888,0.694570577197163,1.05650723870083
"18","Rhinolophidae-Hipposideridae","K",1.2,"upShift",30,24.8,36.1,0.164,0.147,0.175,8003,180,"Rhinolophus_luctus_RHINOLOPHIDAE_CHIROPTERA","Hipposideros_gigas_HIPPOSIDERIDAE_CHIROPTERA",0,0.239513601354231,0.0786500216481301,0.486021536956828,0.657749135628556
"25","Geomyoidea","R",1.2,"upShift",25.6,21.3,30,0.169,0.152,0.187,11140,107,"Microdipodops_pallidus_HETEROMYIDAE_RODENTIA","Chaetodipus_baileyi_HETEROMYIDAE_RODENTIA",1,0.202497264123418,0.0882004861117859,0.431775951137892,0.918994982893542
"7","Carnivora","D",1.3,"upShift",40.2,33.9,47.9,0.178,0.165,0.194,6785,298,"Vulpes_lagopus_CANIDAE_CARNIVORA","Leptailurus_serval_FELIDAE_CARNIVORA",1,0.239143806359566,0.084788532230789,0.457979440045264,0.310975626684868
"10","Cetacea","F",1.3,"upShift",25.9,15.2,38.6,0.191,0.178,0.205,6470,91,"Indopacetus_pacificus_ZIPHIIDAE_CETARTIODACTYLA","Eubalaena_australis_BALAENIDAE_CETARTIODACTYLA",1,0.246989870437924,0.0850668441461563,0.601842033660044,0.604500654297278
"11","Vespertilionid-related","G",1.3,"upShift",47.3,41,54.3,0.16,0.155,0.164,7161,605,"Nyctiellus_lepidus_NATALIDAE_CHIROPTERA","Submyotodon_latirostris_VESPERTILIONIDAE_CHIROPTERA",1,0.194590079183081,0.0892666787269878,0.38712575013544,0.609296731223765
"26","Cricetidae-Muridae","S",1.5,"upShift",47.7,43.5,52.3,0.19,0.183,0.202,9514,1505,"Prometheomys_schaposchnikowi_CRICETIDAE_RODENTIA","Diomys_crumpi_MURIDAE_RODENTIA",0,0.214730838409335,0.088823406928591,0.433711143660868,0.785449884388029
