"","bin","bottom","top","mid","period","epoch","X","binNum","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange","highExt","lowExt","highOri","lowOri"
"1","bin_1_6",6,1,3.5,"N","Po",1,1,NA,1089,NA,NA,NA,NA,380,1112,NA,NA,1492,NA,1492,NA,0.254691689008043,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","bin_6_11",11,6,8.5,"N","Mi",2,2,1089,1070,883,20,NA,2,62,188,205,907,1339,1357.35585113414,1362,1112,0.196035242290749,0.183553597650514,0.203773024695391,0.188367192135465,0.209689922329,0.192088726851992,0.207918442680618,NA,0.203279043650441,NA,0.178539224526601,NA,0.196671090090409,NA,0.977851605758583,0.974641675854465,0.209689922329,0.178539224526601,0.192088726851992,0.188367192135465
"3","bin_11_16",16,11,13.5,"N","Mi",3,3,1070,1026,564,1,14,7,142,455,508,587,1687,1675.2148804219,1692,1095,0.384160756501182,0.352836879432624,0.623484822422505,0.573872402485216,0.640359675957893,0.598368774232656,0.628134584828634,0.575971421419631,0.627209079067951,0.573094732355563,0.465919701213819,0.436222005842259,0.627209079067951,0.573094732355563,0.998230088495575,0.991482112436116,0.640359675957893,0.465919701213819,0.598368774232656,0.436222005842259
"4","bin_16_21",21,16,18.5,"N","Mi",4,4,1026,976,813,10,2,3,21,161,211,831,1211,1215.1769649559,1224,1042,0.189542483660131,0.148692810457516,0.226267427457864,0.177093312429425,0.232691916182904,0.182731476865282,0.225275318527855,0.1809599972169,0.22652764929845,0.178272968267954,0.201737451737452,0.160243407707911,0.225317727795737,0.174643200217376,0.987849331713244,0.984356197352587,0.232691916182904,0.201737451737452,0.182731476865282,0.160243407707911
"5","bin_21_26",26,21,23.5,"Pg","Og",5,5,976,738,403,3,9,2,1,325,567,425,1313,1311.20866074591,1318,992,0.430955993930197,0.247344461305008,0.847633938360456,0.567984037605939,0.88452602446641,0.605007262653789,0.878136226367639,0.59278217152453,0.875264468126349,0.579722105065389,0.583248212461696,0.439946018893387,0.875264468126349,0.579722105065388,0.992610837438424,0.988235294117647,0.88452602446641,0.583248212461696,0.605007262653789,0.439946018893387
"6","bin_26_31",31,26,28.5,"Pg","Og",6,6,738,558,312,2,3,4,2,243,425,325,986,983.644265961773,995,750,0.429145728643216,0.246231155778894,0.836248024200619,0.558296236391414,0.86094063679099,0.581355774571829,0.856506039723124,0.573939176916779,0.844598803418039,0.569035009851914,0.57027027027027,0.433928571428571,0.844598803418039,0.569035009851914,0.993630573248408,0.972307692307692,0.86094063679099,0.57027027027027,0.581355774571829,0.433928571428571
"7","bin_31_36",36,31,33.5,"Pg","Og",7,7,558,576,225,1,5,1,11,348,331,237,920,916.00921783923,927,568,0.368932038834951,0.387270765911543,0.87406127758602,0.903551706096725,0.908258560176891,0.940007258491471,0.904885875698252,0.9336174603927,0.901199455673696,0.915424555986306,0.59391771019678,0.599653379549393,0.901199455673696,0.915424555986306,0.995575221238938,0.970464135021097,0.908258560176891,0.59391771019678,0.940007258491471,0.599653379549393
"8","bin_36_41",41,36,38.5,"Pg","Eo",8,8,576,661,296,1,1,3,11,361,278,307,953,947.85899220184,957,585,0.301985370950888,0.38871473354232,0.644764099644659,0.777440425949449,0.665748206371831,0.803394385527626,0.660367027467314,0.79895978845976,0.654059791851899,0.798172069431604,0.480069324090121,0.549848942598187,0.654059791851898,0.798172069431604,0.996632996632997,0.986970684039088,0.665748206371831,0.480069324090121,0.803394385527626,0.549848942598187
"9","bin_41_46",46,41,43.5,"Pg","Eo",9,9,661,651,556,3,2,0,0,94,105,563,756,753.433467134385,762,668,0.137795275590551,0.123359580052493,0.171008545396955,0.15440439034492,0.172985545601104,0.157741347957987,0.172985545601104,0.154368663479348,0.172132676321335,0.153386445934502,0.156626506024096,0.142201834862385,0.170345365747239,0.153386445934502,0.994633273703041,0.989342806394316,0.172985545601104,0.156626506024096,0.157741347957987,0.142201834862385
"10","bin_46_51",51,46,48.5,"Pg","Eo",10,10,651,500,188,0,2,2,32,307,462,195,996,987.29158194388,996,657,0.495983935742972,0.340361445783133,1.21468445992086,0.945600561127982,1.24206767937862,0.978166135592243,1.23528799239324,0.972784956687726,1.23148557004808,0.967584026261706,0.708141321044547,0.62,1.23148557004808,0.967584026261706,1,1,1.24206767937862,0.708141321044547,0.978166135592243,0.62
"11","bin_51_56",56,51,53.5,"Pg","Eo",11,11,500,396,294,2,0,0,0,102,206,296,602,600.795910067972,604,502,0.341059602649007,0.16887417218543,0.528240665367669,0.296092550960377,0.53102833108351,0.297834443915799,0.53102833108351,0.297834443915799,0.528240665367669,0.296092550960377,0.406374501992032,0.256281407035176,0.521506633186325,0.296092550960377,0.993243243243243,0.993243243243243,0.53102833108351,0.406374501992032,0.297834443915799,0.256281407035176
"12","bin_56_61",61,56,58.5,"Pg","Pe",12,12,396,143,44,0,0,0,80,99,354,44,577,571.955063033754,577,398,0.752166377816291,0.310225303292894,2.20226237136618,1.17865499634165,2.19722457733622,1.17865499634165,2.19722457733622,1.17187530935627,2.19722457733622,1.17865499634165,0.888888888888889,0.692307692307692,2.19722457733622,1.17865499634165,1,1,2.20226237136618,0.888888888888889,1.17865499634165,0.692307692307692
"13","bin_61_66",66,61,63.5,"Pg","Pe",13,13,143,109,28,0,0,0,62,81,115,28,286,283.499389995933,286,143,0.618881118881119,0.5,1.6306401200847,1.35914337205394,1.6306401200847,1.35914337205394,NA,1.35914337205394,1.6306401200847,1.35914337205394,0.804195804195804,0.743119266055046,1.6306401200847,1.35914337205394,1,1,1.6306401200847,0.804195804195804,1.35914337205394,0.743119266055046
"14","bin_66_71",71,66,68.5,"K","Late",14,14,109,61,0,0,0,0,41,61,109,0,211,NA,211,109,0.710900473933649,0.483412322274882,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,1
"15","bin_71_76",76,71,73.5,"K","Late",15,15,61,57,51,0,0,0,0,6,10,51,67,66.4141927612851,67,61,0.149253731343284,0.0895522388059701,0.179048231448985,0.111225635110224,0.179048231448985,0.111225635110224,0.179048231448985,NA,0.179048231448985,0.111225635110224,0.163934426229508,0.105263157894737,0.179048231448985,0.111225635110224,1,1,0.179048231448985,0.163934426229508,0.111225635110224,0.105263157894737
"16","bin_76_81",81,76,78.5,"K","Late",16,16,57,57,57,0,0,0,0,0,0,57,57,56.5016266775112,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"17","bin_81_86",86,81,83.5,"K","Late",17,17,57,13,11,0,0,0,0,2,46,11,59,58.484139894266,59,57,0.779661016949153,0.0338983050847458,1.64515599503618,0.167054084663166,1.64515599503618,0.167054084663166,1.64515599503618,0.167054084663166,1.64515599503618,0.167054084663166,0.807017543859649,0.153846153846154,1.64515599503618,0.167054084663166,1,1,1.64515599503618,0.807017543859649,0.167054084663166,0.153846153846154
"18","bin_86_91",91,86,88.5,"K","Late",18,18,13,23,8,0,0,0,0,15,5,8,28,27.7551850345669,28,13,0.178571428571429,0.535714285714286,0.485507815781701,1.05605267424931,0.485507815781701,1.05605267424931,0.485507815781701,1.05605267424931,0.485507815781701,1.05605267424931,0.384615384615385,0.652173913043478,0.485507815781701,1.05605267424931,1,1,0.485507815781701,0.384615384615385,1.05605267424931,0.652173913043478
"19","bin_91_96",96,91,93.5,"K","Late",19,19,23,22,7,0,0,0,0,15,16,7,38,37.6677511183408,38,23,0.421052631578947,0.394736842105263,1.18958406687384,1.145132304303,1.18958406687384,1.145132304303,1.18958406687384,1.145132304303,1.18958406687384,1.145132304303,0.695652173913043,0.681818181818182,1.18958406687384,1.145132304303,1,1,1.18958406687384,0.695652173913043,1.145132304303,0.681818181818182
"20","bin_96_101",101,96,98.5,"K","Late",20,20,22,32,6,0,0,0,0,26,16,6,48,47.5803172021147,48,22,0.333333333333333,0.541666666666667,1.29928298413026,1.67397643357167,1.29928298413026,1.67397643357167,1.29928298413026,1.67397643357167,1.29928298413026,1.67397643357167,0.727272727272727,0.8125,1.29928298413026,1.67397643357167,1,1,1.29928298413026,0.727272727272727,1.67397643357167,0.8125
"21","bin_101_106",106,101,103.5,"K","Early",21,21,32,28,28,0,0,0,0,0,4,28,32,31.7202114680765,32,32,0.125,0,0.133531392624523,0,0.133531392624523,0,0.133531392624523,0,0.133531392624523,0,0.125,0,0.133531392624523,0,1,1,0.133531392624523,0.125,0,0
"22","bin_106_111",111,106,108.5,"K","Early",22,22,28,31,28,0,0,0,0,3,0,28,31,30.7289548596991,31,28,0,0.0967741935483871,0,0.101782694309942,0,0.101782694309942,0,0.101782694309942,0,0.101782694309942,0,0.0967741935483871,0,0.101782694309942,1,1,0,0,0.101782694309942,0.0967741935483871
"23","bin_111_116",116,111,113.5,"K","Early",23,23,31,38,26,0,0,0,0,12,5,26,43,42.6240341602277,43,31,0.116279069767442,0.27906976744186,0.175890666463664,0.379489621704904,0.175890666463664,0.379489621704904,0.175890666463664,0.379489621704904,0.175890666463664,0.379489621704904,0.161290322580645,0.315789473684211,0.175890666463664,0.379489621704904,1,1,0.175890666463664,0.161290322580645,0.379489621704904,0.315789473684211
"24","bin_116_121",121,116,118.5,"K","Early",24,24,38,38,38,0,0,0,0,0,0,38,38,37.6677511183408,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"25","bin_121_126",126,121,123.5,"K","Early",25,25,38,24,9,0,0,NA,8,15,29,9,61,60.4666531110207,61,38,0.60655737704918,0.377049180327869,1.44036158239017,0.980829253011726,1.44036158239017,0.980829253011726,NA,0.980829253011726,NA,0.980829253011726,NA,0.625,NA,0.980829253011726,1,1,NA,NA,NA,NA
"26","bin_126_131",131,126,128.5,"K","Early",26,26,24,NA,NA,NA,NA,NA,0,NA,24,NA,24,NA,24,24,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
